"","values","Te_Regime","Tu_Regime","Environment","x","x_lower","x_upper","y","y_lower","y_upper"
"1",0,"SR4","SR1","N",0,0,0,0,0,0
"2",1,"SR4","SR1","N",8,8,8,3.89154921711745,6.71804940200935,-1.73052049515649
"3",2,"SR4","SR1","N",8,8,8,23.3562328001474,20.4360908023438,30.4160431339707
"4",3,"SR4","SR1","N",0,0,0,0,0,0
"5",0,"SR5","SR1","N",0,0,0,0,0,0
"6",1,"SR5","SR1","N",8,8,8,2.02748255503387,5.61059832633395,-6.68562186130242
"7",2,"SR5","SR1","N",8,8,8,19.7515326767923,18.3021067397296,23.2557020686521
"8",3,"SR5","SR1","N",0,0,0,0,0,0
"9",0,"SR4","SR2","N",0,0,0,0,0,0
"10",1,"SR4","SR2","N",8,8,8,3.69048426446364,6.24260695414618,-1.71108012285719
"11",2,"SR4","SR2","N",8,8,8,15.3950364427897,14.8919203779414,16.9457857619456
"12",3,"SR4","SR2","N",0,0,0,0,0,0
"13",0,"SR5","SR2","N",0,0,0,0,0,0
"14",1,"SR5","SR2","N",8,8,8,4.562848,8.697441,0
"15",2,"SR5","SR2","N",8,8,8,18.41457,16.467533,24.4159
"16",3,"SR5","SR2","N",0,0,0,0,0,0
"17",0,"SR4","SR1","Cd",0,0,0,0,0,0
"18",1,"SR4","SR1","Cd",8,8,8,7.18744084662804,-0.0218771507761577,9.20843397166747
"19",2,"SR4","SR1","Cd",8,8,8,-6.27055745735846,3.51792883910473,-38.6441578783944
"20",3,"SR4","SR1","Cd",0,0,0,0,0,0
"21",0,"SR5","SR1","Cd",0,0,0,0,0,0
"22",1,"SR5","SR1","Cd",-2.23471074577096,0.850080553805888,-0.159145859961549,6,6,6
"23",2,"SR5","SR1","Cd",1.51166852942903,1.04823096982252,1.74492614194827,6,6,6
"24",3,"SR5","SR1","Cd",0,0,0,0,0,0
"25",0,"SR4","SR2","Cd",0,0,0,0,0,0
"26",1,"SR4","SR2","Cd",8,8,8,5.49734424586468,-0.0186697718488193,6.84405943410547
"27",2,"SR4","SR2","Cd",8,8,8,-2.24136937198785,4.56080877089804,-28.3212517733247
"28",3,"SR4","SR2","Cd",0,0,0,0,0,0
"29",0,"SR5","SR2","Cd",0,0,0,0,0,0
"30",1,"SR5","SR2","Cd",6,8,-1.46671489164533,-4.780046,2.508894,-2
"31",2,"SR5","SR2","Cd",6,8,6,34.355335,19.516377,6
"32",3,"SR5","SR2","Cd",0,0,-0.787573128975959,0,0,3
