"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",5.14285714285714,11.1111111111111,0.166240927795072,0.160134283184533,0.12527171319641,0.20278001096371
"2","SR2","SR4",1,"N",4,11.1111111111111,0.107716852718565,0.160134283184533,0.100585335789778,0.152920741313442
"3","SR1","SR5",1,"N",5.14285714285714,11.2857142857143,0.166240927795072,0.16764112795305,0.130741310344389,0.152154294477141
"4","SR2","SR5",1,"N",4,11.2857142857143,0.107716852718565,0.16764112795305,0.119814431133666,0.203534015292199
"5","SR1","SR4",2,"N",4.2,11.3333333333333,0.129780027272356,0.0939802724340922,0.0852245879260775,0.169352179207352
"7","SR1","SR5",2,"N",4.2,11.375,0.129780027272356,0.175684003338281,0.0609025927512791,0.174732890799764
"9","SR1","SR4",3,"N",3.88888888888889,14,0.107677393453433,0.113805835406268,0.0919825522621254,0.150202347501485
"10","SR2","SR4",3,"N",5.5,14,0.10888783543706,0.113805835406268,0.0928223414603573,0.0814883457741838
"11","SR1","SR5",3,"N",3.88888888888889,11.6666666666667,0.107677393453433,0.184781369745823,0.0873376974836242,0.113633893049765
"12","SR2","SR5",3,"N",5.5,11.6666666666667,0.10888783543706,0.184781369745823,0.0791188310097094,0.101194781905348
"13","SR1","SR4",4,"N",3.88888888888889,14,0.123629428369256,0.203617298002996,0.126928107829518,0.185683811427605
"14","SR2","SR4",4,"N",5.5,14,0.18842551235489,0.203617298002996,0.136540714961347,0.154732258197396
"15","SR1","SR5",4,"N",3.88888888888889,11.6666666666667,0.123629428369256,0.182694079969619,0.132814034596512,0.175682853646275
"16","SR2","SR5",4,"N",5.5,11.6666666666667,0.18842551235489,0.182694079969619,0.13295425701573,0.162064168170856
"17","SR1","SR4",5,"N",4.375,8.75,0.06217428602636,0.132524900047275,0.0967042691537012,0.153034399572294
"18","SR2","SR4",5,"N",3.14285714285714,8.75,0.0693137424676074,0.132524900047275,0.0999548642551749,0.164784771169708
"19","SR1","SR5",5,"N",4.375,9.5,0.06217428602636,0.146664446090986,0.0639477192251364,0.208189448102634
"20","SR2","SR5",5,"N",3.14285714285714,9.5,0.0693137424676074,0.146664446090986,-0.0140307159262968,0.175725228905131
"110","SR1","SR4",1,"Cd",2.5,3.875,0.123373540038485,0.127292309999733,0.106725548019318,0.0672489640868432
"21","SR2","SR4",1,"Cd",5,3.875,0.225526960150346,0.127292309999733,0.158883880805314,0.0904964751544685
"31","SR1","SR5",1,"Cd",2.5,6,0.123373540038485,0.18016986721932,0.0975924317501555,0.135508977250378
"41","SR2","SR5",1,"Cd",5,6,0.225526960150346,0.18016986721932,0.168866733271788,0.119552234262334
"51","SR1","SR4",2,"Cd",2,2.5,0.100028618564824,0.0754108025060904,0.0666417559210616,0.0492974375027164
"71","SR1","SR5",2,"Cd",2,4,0.100028618564824,0.144261677605827,0.0707492538852066,0.17492257060876
"91","SR1","SR4",3,"Cd",2,3.83333333333333,0.098625950138527,0.113954355845687,0.0580783579304167,0.132039511796596
"101","SR2","SR4",3,"Cd",2,3.83333333333333,0.0734703520669677,0.113954355845687,0.0636174103045152,0.0489511210258302
"111","SR1","SR5",3,"Cd",2,3.4,0.098625950138527,0.123789505214172,0.0577026980386922,0.121923062520521
"121","SR2","SR5",3,"Cd",2,3.4,0.0734703520669677,0.123789505214172,0.0616090765776088,0.0681909119686814
"131","SR1","SR4",4,"Cd",3,4,0.169985019939692,0.136142669878374,0.115425808752322,0.0563149698444454
"141","SR2","SR4",4,"Cd",2.5,4,0.120005464010965,0.136142669878374,0.0815541793378321,0.12247587515147
"151","SR1","SR5",4,"Cd",3,3.14285714285714,0.169985019939692,0.0843690504424262,0.117962232422432,0.0927172478415738
"161","SR2","SR5",4,"Cd",2.5,3.14285714285714,0.120005464010965,0.0843690504424262,0.0647983789922127,0.0305097812848336
"171","SR1","SR4",5,"Cd",3,3.16666666666667,0.152460893213034,0.116741705100405,0.124456090919642,0.061172967822578
"181","SR2","SR4",5,"Cd",2.5,3.16666666666667,0.0806051912201814,0.116741705100405,0.0870718871580701,0.0735144745087434
"191","SR1","SR5",5,"Cd",3,3.6,0.152460893213034,0.107582312320964,0.0639740956567668,0.0557050023310471
"201","SR2","SR5",5,"Cd",2.5,3.6,0.0806051912201814,0.107582312320964,0.0724032269986899,0.0435682126471601
