"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.11914135878333,6.40886578455582,0.152035937101375,0.137544070760321,0.0954744236840536,0.169089985823136
"2","SR2","SR4",1,"N",2.19722436226801,6.40886578455582,0.0945543453390141,0.137544070760321,0.0783373874648286,0.127129209160216
"3","SR1","SR5",1,"N",2.11914135878333,5.78679664329635,0.152035937101375,0.151432793351882,0.112608287519139,0.11705439813843
"4","SR2","SR5",1,"N",2.19722436226801,5.78679664329635,0.0945543453390141,0.151432793351882,0.0992538023618976,0.165277303109937
"5","SR1","SR4",2,"N",2.21114214797649,4.32857304716603,0.11233564186783,NA,0.0638245124686217,NA
"7","SR1","SR5",2,"N",2.21114214797649,4.28501712675855,0.11233564186783,NA,0.0363497698791438,NA
"9","SR1","SR4",3,"N",1.98859651372366,7.30008291925274,0.0997355444921582,0.097872474443251,0.0703641243274105,0.116704611680163
"10","SR2","SR4",3,"N",2.61902794182241,7.30008291925274,0.0919155618094775,0.097872474443251,0.064953409839017,0.0404879869603081
"11","SR1","SR5",3,"N",1.98859651372366,7.02985741891881,0.0997355444921582,0.163688202723557,0.073063102017798,0.0805782575258037
"12","SR2","SR5",3,"N",2.61902794182241,7.02985741891881,0.0919155618094775,0.163688202723557,0.0573489886650173,0.070183339312075
"13","SR1","SR4",4,"N",2.07623495453896,10.0059568164101,0.11165243415112,0.183553685953119,0.107029376126301,0.15256661413244
"14","SR2","SR4",4,"N",4.92264973081037,10.0059568164101,0.169387915905635,0.183553685953119,0.111616552940656,0.122657414800752
"15","SR1","SR5",4,"N",2.07623495453896,7.6756052253241,0.11165243415112,0.161121918544266,0.120373829858233,0.14587791125257
"16","SR2","SR5",4,"N",4.92264973081037,7.6756052253241,0.169387915905635,0.161121918544266,0.108341712512982,0.135783392975983
"17","SR1","SR4",5,"N",2.60723304703363,4.51578561849173,0.0422146563628429,0.112440617129891,0.0724797513341426,0.126360522514807
"18","SR2","SR4",5,"N",1.56926555791826,4.51578561849173,0.0562746879180589,0.112440617129891,0.0872660319004396,0.142317741583011
"19","SR1","SR5",5,"N",2.60723304703363,4.57275150030184,0.0422146563628429,0.129158620138449,0.0437827577131767,0.183110471348879
"20","SR2","SR5",5,"N",1.56926555791826,4.57275150030184,0.0562746879180589,0.129158620138449,-0.0314781060634504,0.15365259063073
"110","SR1","SR4",1,"Cd",1.5,2.23291943820391,0.101498392780734,0.112063831331018,0.0957452834320445,0.0336290431890316
"21","SR2","SR4",1,"Cd",2.17157287525381,2.23291943820391,0.192611579133901,0.112063831331018,0.140422241067729,0.0587656812406798
"31","SR1","SR5",1,"Cd",1.5,-0.819090848492928,0.101498392780734,0.162960955811548,0.0864946221581554,0.116179998330759
"41","SR2","SR5",1,"Cd",2.17157287525381,-0.819090848492928,0.192611579133901,0.162960955811548,0.144568894234344,0.0930481823662405
"51","SR1","SR4",2,"Cd",1,1.79289321881345,0.0859796801951325,0.064285689837064,0.0516284908178119,0.0254249888909159
"71","SR1","SR5",2,"Cd",1,2.77525512860841,0.0859796801951325,0.129145007104855,0.0612196914300625,0.152289845354597
"91","SR1","SR4",3,"Cd",1,2.50417319750821,0.0872599310631187,0.101598586626645,0.0438681523155126,0.112499539190086
"101","SR2","SR4",3,"Cd",1,2.50417319750821,0.06214518926475,0.101598586626645,0.051117399030537,0.0320407510301426
"111","SR1","SR5",3,"Cd",1,1.45064113103821,0.0872599310631187,0.110007921328705,0.0398171913769438,0.099160977841165
"121","SR2","SR5",3,"Cd",1,1.45064113103821,0.06214518926475,0.110007921328705,0.0494188314305798,0.0473754003098273
"131","SR1","SR4",4,"Cd",2,1.83975310053071,0.14376248999522,0.119036640211289,0.0989043053276249,0.0283469255898165
"141","SR2","SR4",4,"Cd",1.79289321881345,1.83975310053071,0.104286746400637,0.119036640211289,0.0674880066612615,0.103191866171055
"151","SR1","SR5",4,"Cd",2,1.67900703343434,0.14376248999522,0.0671234029820554,0.101348313266696,0.0730358412506965
"161","SR2","SR5",4,"Cd",1.79289321881345,1.67900703343434,0.104286746400637,0.0671234029820554,0.041148029238676,0.0080059159030897
"171","SR1","SR4",5,"Cd",2,1.56458468790694,0.132962686407044,0.102198399909065,0.11130322047887,0.0425449958228881
"181","SR2","SR4",5,"Cd",1.74407105398155,1.56458468790694,0.067240869253355,0.102198399909065,0.0663475018190198,0.0490310794767392
"191","SR1","SR5",5,"Cd",2,1.65064113103821,0.132962686407044,0.0957258492312835,0.0433818435910758,0.030607054670678
"201","SR2","SR5",5,"Cd",1.74407105398155,1.65064113103821,0.067240869253355,0.0957258492312835,0.0492724904276997,0.0188949357287486
