"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",7.16657292693096,14.8133564376664,0.13154493516138,0.140949041516723,0.242663783388706,0.525135061369794
"2","SR2","SR4",1,"N",4.802775637732,14.8133564376664,0.0490584955820624,0.140949041516723,0.154714653052508,0.364105762786182
"3","SR1","SR5",1,"N",7.16657292693096,15.7846319281322,0.13154493516138,0.131037278794759,0.281464618417686,0.442961625612962
"4","SR2","SR5",1,"N",4.802775637732,15.7846319281322,0.0490584955820624,0.131037278794759,0.17709840918464,0.485077603853246
"5","SR1","SR4",2,"N",5.18885785202351,17.3380936195006,0.0875439482944292,0.082362882037552,0.188250293310551,0.37037287222054
"7","SR1","SR5",2,"N",5.18885785202351,17.4649828732415,0.0875439482944292,0.150408397197371,NA,0.342893829014532
"9","SR1","SR4",3,"N",4.78918126405412,19.6999170807473,0.074669337835844,0.102093387517498,0.207277098482528,0.388751203471118
"10","SR2","SR4",3,"N",7.38097205817759,19.6999170807473,0.0937726067976467,0.102093387517498,0.232474456532784,0.409524600732775
"11","SR1","SR5",3,"N",4.78918126405412,15.3034759144145,0.074669337835844,0.179910418704038,0.193968193256101,0.412492354622397
"12","SR2","SR5",3,"N",7.38097205817759,15.3034759144145,0.0937726067976467,0.179910418704038,0.243355325694343,0.378818993834168
"13","SR1","SR4",4,"N",4.70154282323882,16.9940431835899,0.0805527342632764,0.184985657147541,0.231149896457236,0.463642465179783
"14","SR2","SR4",4,"N",5.07735026918963,16.9940431835899,0.136469021868853,0.184985657147541,0.281902373661467,0.39903894513388
"15","SR1","SR5",4,"N",4.70154282323882,14.6577281080092,0.0805527342632764,0.184296064858405,0.199135765307228,0.475967103069013
"16","SR2","SR5",4,"N",5.07735026918963,14.6577281080092,0.136469021868853,0.184296064858405,0.269732447761585,0.404485697105953
"17","SR1","SR4",5,"N",5.14276695296637,11.9842143815083,0.0265988974414785,0.130840510586445,0.187132765184562,0.297279302203332
"18","SR2","SR4",5,"N",3.71644872779603,11.9842143815083,0.0310566102505481,0.130840510586445,0.158976409935898,0.442134194323519
"19","SR1","SR5",5,"N",5.14276695296637,13.4272484996982,0.0265988974414785,0.162818718967902,0.193980989976388,0.415688807981412
"20","SR2","SR5",5,"N",3.71644872779603,13.4272484996982,0.0310566102505481,0.162818718967902,0.106979810793999,0.364788889154214
"110","SR1","SR4",1,"Cd",2.5,4.51708056179609,0.0490078711331213,0.0881435359243322,0.0475790817680575,0.10915423947376
"21","SR2","SR4",1,"Cd",6.82842712474619,4.51708056179609,0.195090297213949,0.0881435359243322,0.168393288496807,0.0564931023552288
"31","SR1","SR5",1,"Cd",2.5,11.8190908484929,0.0490078711331213,0.157478639911091,0.0418009834631026,0.120127147083707
"41","SR2","SR5",1,"Cd",6.82842712474619,11.8190908484929,0.195090297213949,0.157478639911091,0.143905057236314,0.101439441679103
"51","SR1","SR4",2,"Cd",1.01,2.20710678118655,-0.0117921555172138,0.00970211390042477,0.00849720544286537,0.00389383511515471
"71","SR1","SR5",2,"Cd",1.01,4.22474487139159,-0.0117921555172138,0.10195223562089,-0.00834617315371355,0.143156755894624
"91","SR1","SR4",3,"Cd",1.01,4.16249346915846,-0.0121968685584835,0.0706898792627699,-0.022601109893882,0.104098614772473
"101","SR2","SR4",3,"Cd",1.01,4.16249346915846,-0.0255036917050175,0.0706898792627699,-0.00974546994620218,0.030582940837128
"111","SR1","SR5",3,"Cd",1.01,4.34935886896179,-0.0121968685584835,0.0779937016574777,-0.0207112770470878,0.0899976921444494
"121","SR2","SR5",3,"Cd",1.01,4.34935886896179,-0.0255036917050175,0.0779937016574777,-0.0144589574366569,0.0283170692715336
"131","SR1","SR4",4,"Cd",3,5.16024689946929,0.101168717654221,0.0909546617741501,0.0894380747275361,0.0378749690436339
"141","SR2","SR4",4,"Cd",2.20710678118655,5.16024689946929,0.0392884922610682,0.0909546617741501,0.0300035743015608,0.094631869760513
"151","SR1","SR5",4,"Cd",3,3.60670725227994,0.101168717654221,0.0286988979844049,0.099468748674986,0.0530580985250135
"161","SR2","SR5",4,"Cd",2.20710678118655,3.60670725227994,0.0392884922610682,0.0286988979844049,0.0319068207278412,0.0159376360984887
"171","SR1","SR4",5,"Cd",2.01,3.76874864542639,0.0848485110491681,0.0607398071691719,0.0833283683814595,0.031955399100882
"181","SR2","SR4",5,"Cd",2.25592894601845,3.76874864542639,0.00385813481295246,0.0607398071691719,0.0564757573650483,0.0653818617654704
"191","SR1","SR5",5,"Cd",2.01,4.54935886896179,0.0848485110491681,0.0665146924631326,0.0227806665600831,0.0260284036489829
"201","SR2","SR5",5,"Cd",2.25592894601845,4.54935886896179,0.00385813481295246,0.0665146924631326,0.0175795410718987,0.0232071676113629
