"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",5.14285714285714,11.1111111111111,0.149488786322326,0.143965497208701,0.149214191329047,0.224932992411669
"2","SR2","SR4",1,"N",4,11.1111111111111,0.0907808203691772,0.143965497208701,0.115943705103828,0.175059253784058
"3","SR1","SR5",1,"N",5.14285714285714,11.2857142857143,0.149488786322326,0.15281254830269,0.154459152883081,0.176503278226379
"4","SR2","SR5",1,"N",4,11.2857142857143,0.0907808203691772,0.15281254830269,0.134925971776049,0.228849192163612
"5","SR1","SR4",2,"N",4.2,11.3333333333333,0.118774721248469,0.0889281668493631,0.103403316453777,0.182657615608041
"7","SR1","SR5",2,"N",4.2,11.375,0.118774721248469,0.159393118303217,0.0790070273297019,0.103403316453777
"9","SR1","SR4",3,"N",3.88888888888889,14,0.110848761355737,0.111629473235698,0.107494686687759,0.165909794804058
"10","SR2","SR4",3,"N",5.5,14,0.102128251216054,0.111629473235698,0.108402517772723,0.098246210456237
"11","SR1","SR5",3,"N",3.88888888888889,11.6666666666667,0.110848761355737,0.17548477105709,0.102566128990409,0.140077184544046
"12","SR2","SR5",3,"N",5.5,11.6666666666667,0.102128251216054,0.17548477105709,0.0946417431131123,0.129026346527268
"13","SR1","SR4",4,"N",3.57142857142857,9.57142857142857,0.0962815996988456,0.134109959776106,0.132616405275601,0.159964923823865
"14","SR2","SR4",4,"N",2.66666666666667,9.57142857142857,0.0586108803971514,0.134109959776106,0.0598975914987352,0.129749854420851
"15","SR1","SR5",4,"N",3.57142857142857,6.75,0.0962815996988456,0.0916880712046806,0.138143087065614,0.121306630572708
"16","SR2","SR5",4,"N",2.66666666666667,6.75,0.0586108803971514,0.0916880712046806,0.0564113665758057,0.110189666885436
"17","SR1","SR4",5,"N",4.375,8.75,0.0534639483220981,0.123617553205405,0.105494241906215,0.171820545859031
"18","SR2","SR4",5,"N",3.14285714285714,8.75,0.0682882819161347,0.123617553205405,0.109820887856621,0.1837739766021
"19","SR1","SR5",5,"N",4.375,9.5,0.0534639483220981,0.135515619707257,0.0727622348216928,0.229032539957553
"20","SR2","SR5",5,"N",3.14285714285714,9.5,0.0682882819161347,0.135515619707257,-0.00414596623152222,0.197113732243366
"110","SR1","SR4",1,"Cd",2.5,3.875,0.106461658182749,0.114558797226218,0.124377390026562,0.0859264985780206
"21","SR2","SR4",1,"Cd",5,3.875,0.199989576339722,0.114558797226218,0.190958698095616,0.108934823085865
"31","SR1","SR5",1,"Cd",2.5,6,0.106461658182749,0.169621546487098,0.115104442517304,0.161153250532436
"41","SR2","SR5",1,"Cd",5,6,0.199989576339722,0.169621546487098,0.201492726673216,0.146427798030371
"51","SR1","SR4",2,"Cd",2,2.5,0.0877287124155555,0.0754108025060904,0.0808425122795888,0.0492974375027164
"71","SR1","SR5",2,"Cd",2,4,0.0877287124155555,0.144261677605827,0.0850723468830901,0.17492257060876
"91","SR1","SR4",3,"Cd",2,3.83333333333333,0.0844671783516583,0.100142485295124,0.0721329435668595,0.148641322722696
"101","SR2","SR4",3,"Cd",2,3.83333333333333,0.0643496550554735,0.100142485295124,0.0741090424730114,0.0655146597069891
"111","SR1","SR5",3,"Cd",2,3.4,0.0844671783516583,0.10755391464093,0.0717923774093738,0.14057945544367
"121","SR2","SR5",3,"Cd",2,3.4,0.0643496550554735,0.10755391464093,0.0720918641931175,0.0859762883532927
"131","SR1","SR4",4,"Cd",3,4,0.141344501320491,0.114380157541745,0.139950304064407,0.0760386040418088
"141","SR2","SR4",4,"Cd",2.5,4,0.103695990334963,0.114380157541745,0.0986993175739368,0.142436844235059
"151","SR1","SR5",4,"Cd",3,3.14285714285714,0.141344501320491,0.0777960296067886,0.141838608594528,0.104728481663881
"161","SR2","SR5",4,"Cd",2.5,3.14285714285714,0.103695990334963,0.0777960296067886,0.0819292529834318,0.0425919542735024
"171","SR1","SR4",5,"Cd",3,3.16666666666667,0.130992136095041,0.105834453944982,0.146217908804328,0.0774341773866374
"181","SR2","SR4",5,"Cd",2.5,3.16666666666667,0.0657357249252528,0.105834453944982,0.098638118689102,0.090108962457562
"191","SR1","SR5",5,"Cd",3,3.6,0.130992136095041,0.0986739186490922,0.0857720931883624,0.0712499262164192
"201","SR2","SR5",5,"Cd",2.5,3.6,0.0657357249252528,0.0986739186490922,0.0839047487137018,0.0592284380981441
