"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",1.11914135878333,5.40886578455582,0.117927066723934,0.122637421035857,0.175004393196538,0.362495075504391
"2","SR2","SR4",1,"N",1.19722436226801,5.40886578455582,0.0421250688723633,0.122637421035857,0.138469089887341,0.341405658340559
"3","SR1","SR5",1,"N",1.11914135878333,4.78679664329635,0.117927066723934,0.127210096906518,0.209903313434019,0.321579896621616
"4","SR2","SR5",1,"N",1.19722436226801,4.78679664329635,0.0421250688723633,0.127210096906518,0.140618597027651,0.0953583678049341
"5","SR1","SR4",2,"N",1.21114214797649,3.32857304716603,0.0623619681078274,0.0641299861411266,0.176916551366173,0.361847903245932
"7","SR1","SR5",2,"N",1.21114214797649,3.28501712675855,0.0623619681078274,0.125649142553984,0.163243670908403,0.283856764769584
"9","SR1","SR4",3,"N",0.988596513723659,6.30008291925274,0.0614977976331816,0.0768991383445561,0.171032418774784,0.359991584161548
"10","SR2","SR4",3,"N",1.61902794182241,6.30008291925274,0.0591540462845445,0.0768991383445561,0.215864061355936,0.357978275201576
"11","SR1","SR5",3,"N",0.988596513723659,6.02985741891881,0.0614977976331816,0.15943361029941,0.16771439157672,0.342593933737727
"12","SR2","SR5",3,"N",1.61902794182241,6.02985741891881,0.0591540462845445,0.15943361029941,0.227265715369461,0.317254509445116
"13","SR1","SR4",4,"N",0.75877463707864,4.57738538783867,0.0452335392076119,0.116636494478698,0.168389589450711,0.268582504921207
"14","SR2","SR4",4,"N",1.08931639747704,4.57738538783867,-0.0129798934693261,0.116636494478698,0.0557443729201933,0.274340347414648
"15","SR1","SR5",4,"N",0.75877463707864,1.75893855865743,0.0452335392076119,0.0668288296600175,0.0484052785110678,0.276218613842923
"16","SR2","SR5",4,"N",1.08931639747704,1.75893855865743,-0.0129798934693261,0.0668288296600175,0.073739907197593,0.18196710406797
"17","SR1","SR4",5,"N",1.60723304703363,3.51578561849173,0.0100821221785162,0.0750642629967606,0.0591303100606276,0.256097032352327
"18","SR2","SR4",5,"N",0.569265557918257,3.51578561849173,0.00750402930222237,0.0750642629967606,0.0618496330411347,0.319124552962429
"19","SR1","SR5",5,"N",1.60723304703363,3.57275150030184,0.0100821221785162,0.0842328065910461,0.148714366448558,0.372961721091556
"20","SR2","SR5",5,"N",0.569265557918257,3.57275150030184,0.00750402930222237,0.0842328065910461,0.100481915313159,0.279429288370891
"110","SR1","SR4",1,"Cd",0.5,1.23291943820391,0.0187641610142038,0.0488226494007264,0.0468841114773138,-0.0213398400433192
"21","SR2","SR4",1,"Cd",1.17157287525381,1.23291943820391,0.154022682179697,0.0488226494007264,0.154397818544429,0.0395297294427544
"31","SR1","SR5",1,"Cd",0.5,-1.81909084849293,0.0187641610142038,0.137564163187036,0.0323510959571397,0.122615236785291
"41","SR2","SR5",1,"Cd",1.17157287525381,-1.81909084849293,0.154022682179697,0.137564163187036,0.115629008603403,0.103738688467587
"51","SR1","SR4",2,"Cd",0.99,0.792893218813452,-0.0164517666336794,0.00121948785558968,-0.0273360944613115,-0.0398152671201902
"71","SR1","SR5",2,"Cd",0.99,1.77525512860841,-0.0164517666336794,0.0885760685033735,-0.019115261632683,0.125591445389151
"91","SR1","SR4",3,"Cd",0.99,1.50417319750821,-0.014912192644374,0.0546037307179548,-0.0518828815634642,0.0696727250440553
"101","SR2","SR4",3,"Cd",0.99,1.50417319750821,-0.0402695793658451,0.0546037307179548,-0.0303454828762584,0.0173196428785123
"111","SR1","SR5",3,"Cd",0.99,0.450641131038207,-0.014912192644374,0.0553352399206362,-0.0356920285051195,0.0749659211604157
"121","SR2","SR5",3,"Cd",0.99,0.450641131038207,-0.0402695793658451,0.0553352399206362,-0.0497782955282131,0.0349678302670774
"131","SR1","SR4",4,"Cd",1,0.839753100530713,0.0667333685086808,0.0568133228523686,0.0605068948784557,0.0204275271307825
"141","SR2","SR4",4,"Cd",0.792893218813452,0.839753100530713,0.0279668732221183,0.0568133228523686,0.00849084799608179,0.049366827852073
"151","SR1","SR5",4,"Cd",1,0.679007033434343,0.0667333685086808,0.0111896229645087,0.0771436731939965,0.0453263631734929
"161","SR2","SR5",4,"Cd",0.792893218813452,0.679007033434343,0.0279668732221183,0.0111896229645087,-0.00985483716971226,-0.0202857343696456
"171","SR1","SR4",5,"Cd",1.99,0.564584687906944,0.0697730958918775,0.0450778963255609,0.0691763044242346,0.0113039502373166
"181","SR2","SR4",5,"Cd",0.744071053981546,0.564584687906944,-0.0334260292947341,0.0450778963255609,0.023097373079202,-0.0119196794139567
"191","SR1","SR5",5,"Cd",1.99,0.650641131038207,0.0697730958918775,0.0507027749700578,0.00764484114743828,0.0160447031153015
"201","SR2","SR5",5,"Cd",0.744071053981546,0.650641131038207,-0.0334260292947341,0.0507027749700578,-0.0148636454944164,-0.0143013072771767
