"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",7.16657292693096,14.8133564376664,0.12058318459587,0.13984177813521,0.257034237929382,0.391801203258241
"2","SR2","SR4",1,"N",4.802775637732,14.8133564376664,0.0553661954187302,0.13984177813521,0.153631644871528,0.37562957386964
"3","SR1","SR5",1,"N",7.16657292693096,15.7846319281322,0.12058318459587,0.15137315790763,0.257034709655998,0.381232880157346
"4","SR2","SR5",1,"N",4.802775637732,15.7846319281322,0.0553661954187302,0.15137315790763,0.168150671548773,0.841605798492898
"5","SR1","SR4",2,"N",5.18885785202351,17.3380936195006,0.0934172430398832,0.0881214786583569,0.180645314439516,0.3723402270442
"7","SR1","SR5",2,"N",5.18885785202351,17.4649828732415,0.0934172430398832,0.167610382745089,0.172654709242218,0.359101457751745
"9","SR1","SR4",3,"N",4.78918126405412,19.6999170807473,0.0750113442841593,0.124181694881887,0.173873087528683,0.366671925052425
"10","SR2","SR4",3,"N",7.38097205817759,19.6999170807473,0.087810519753206,0.124181694881887,0.221848958650772,0.435697156576535
"11","SR1","SR5",3,"N",4.78918126405412,15.3034759144145,0.0750113442841593,0.16521723865085,0.17941124004293,0.377859255525486
"12","SR2","SR5",3,"N",7.38097205817759,15.3034759144145,0.087810519753206,0.16521723865085,0.250631452610952,0.42372625701766
"13","SR1","SR4",4,"N",4.3840825057785,12.5654717550185,0.0551566326480765,0.120573967465645,0.170453163633067,0.426804272629988
"14","SR2","SR4",4,"N",2.24401693585629,12.5654717550185,-0.00685358292043199,0.120573967465645,0.101697080111321,0.38248794294392
"15","SR1","SR5",4,"N",4.3840825057785,9.74106144134257,0.0551566326480765,0.0699470839462716,0.290090263976954,0.302525501315693
"16","SR2","SR5",4,"N",2.24401693585629,9.74106144134257,-0.00685358292043199,0.0699470839462716,0.0762287896831799,0.368492167577188
"17","SR1","SR4",5,"N",5.14276695296637,11.9842143815083,0.0244153783305077,0.130777225283508,0.306049505035854,0.329409121745227
"18","SR2","SR4",5,"N",3.71644872779603,11.9842143815083,0.0194483800126227,0.130777225283508,0.244152135223014,0.40804021211034
"19","SR1","SR5",5,"N",5.14276695296637,13.4272484996982,0.0244153783305077,0.154017544361103,0.202198419944214,0.437261666686597
"20","SR2","SR5",5,"N",3.71644872779603,13.4272484996982,0.0194483800126227,0.154017544361103,0.112901782394768,0.427423730677749
"110","SR1","SR4",1,"Cd",2.5,4.51708056179609,0.04605686107639,0.0949462810344547,0.0559101346540306,0.10698938199739
"21","SR2","SR4",1,"Cd",6.82842712474619,4.51708056179609,0.184525533685393,0.0949462810344547,0.163332968352153,0.0931549640842958
"31","SR1","SR5",1,"Cd",2.5,11.8190908484929,0.04605686107639,0.14929651962934,0.0518416829191422,0.148011932948675
"41","SR2","SR5",1,"Cd",6.82842712474619,11.8190908484929,0.184525533685393,0.14929651962934,0.222220707067733,0.13481074718121
"51","SR1","SR4",2,"Cd",1.01,2.20710678118655,-0.0102714257739464,0.00557947399382811,-0.0065189248328251,-0.0123072646437352
"71","SR1","SR5",2,"Cd",1.01,4.22474487139159,-0.0102714257739464,0.114327902457378,-0.00881106098660455,0.142566123871033
"91","SR1","SR4",3,"Cd",1.01,4.16249346915846,-0.0129065147946629,0.0589813544873137,-0.00185932944828778,0.140038180609923
"101","SR2","SR4",3,"Cd",1.01,4.16249346915846,-0.0291930668121538,0.0589813544873137,-0.0182519691112366,0.027799651934239
"111","SR1","SR5",3,"Cd",1.01,4.34935886896179,-0.0129065147946629,0.0604825858863898,-0.0187486043336467,0.100325736509905
"121","SR2","SR5",3,"Cd",1.01,4.34935886896179,-0.0291930668121538,0.0604825858863898,-0.00404960861056626,0.036687040961482
"131","SR1","SR4",4,"Cd",3,5.16024689946929,0.0917922334419962,0.0896874518627276,0.101685313708165,0.048094392378791
"141","SR2","SR4",4,"Cd",2.20710678118655,5.16024689946929,0.0336020570790688,0.0896874518627276,0.0428086284072756,0.151198782518591
"151","SR1","SR5",4,"Cd",3,3.60670725227994,0.0917922334419962,0.0326135375342106,0.0933783036348615,0.054777139338798
"161","SR2","SR5",4,"Cd",2.20710678118655,3.60670725227994,0.0336020570790688,0.0326135375342106,0.0277830983686882,-0.00292694743201751
"171","SR1","SR4",5,"Cd",2.01,3.76874864542639,0.0737416679785053,0.0596754999925226,0.107453085215448,0.0364871553518342
"181","SR2","SR4",5,"Cd",2.25592894601845,3.76874864542639,0.0189879694914467,0.0596754999925226,0.0283978318883916,0.0851675384575327
"191","SR1","SR5",5,"Cd",2.01,4.54935886896179,0.0737416679785053,0.053932127795917,0.0477681131337992,0.0334561659013406
"201","SR2","SR5",5,"Cd",2.25592894601845,4.54935886896179,0.0189879694914467,0.053932127795917,0.0370167862354604,0.0395171351910367
