"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",1.75548962449056,2.24019401116039,-0.00202069489056481,-0.0860089825132243,0.0855005638732151,0.13111669483329
"2","SR2","SR4",1,"N",1.5574039382025,2.24019401116039,-0.0472601208475183,-0.0860089825132243,0.0594361273529541,0.124925755919265
"3","SR1","SR5",1,"N",1.75548962449056,2.28743777676757,-0.00202069489056481,-0.0752124966014912,0.0925110776928636,0.124469014622053
"4","SR2","SR5",1,"N",1.5574039382025,2.28743777676757,-0.0472601208475183,-0.0752124966014912,0.0620314118565327,0.167003437710179
"5","SR1","SR4",2,"N",1.39904703624243,5.09323943164752,-0.0458408868440896,-0.0244107162443889,0.0515021522706974,0.256292106073816
"7","SR1","SR5",2,"N",1.39904703624243,3.60217430663454,-0.0458408868440896,-0.00477778896960843,0.0484166008575252,0.176004556916887
"9","SR1","SR4",3,"N",1.63384749951198,2.3465419708448,-0.0129595488128989,-0.141941745822169,0.0795979406947879,0.121252447350844
"10","SR2","SR4",3,"N",1.73736263963677,2.3465419708448,-0.0625603638263659,-0.141941745822169,0.080315624570435,0.132094793657069
"11","SR1","SR5",3,"N",1.63384749951198,2.11093407799878,-0.0129595488128989,-0.0740173422280792,0.0805100021862361,0.113835875558481
"12","SR2","SR5",3,"N",1.73736263963677,2.11093407799878,-0.0625603638263659,-0.0740173422280792,0.0880563343003996,0.116745107439134
"13","SR1","SR4",4,"N",1.7280129876565,2.03942230671417,-0.00554404529165481,-0.085275219730936,0.0980859342437215,0.115396139620948
"14","SR2","SR4",4,"N",1.96001721712606,2.03942230671417,0.0137355756528031,-0.085275219730936,0.103591769075669,0.109154361093858
"15","SR1","SR5",4,"N",1.7280129876565,2.06962419869316,-0.00554404529165481,-0.0805067044970808,0.0981253210557424,0.120860321346353
"16","SR2","SR5",4,"N",1.96001721712606,2.06962419869316,0.0137355756528031,-0.0805067044970808,0.0987486050158306,0.115856617103897
"17","SR1","SR4",5,"N",1.65937130568623,2.00570883104676,-0.0814641522056699,-0.088290275283569,0.0758414473295525,0.0993341698812654
"18","SR2","SR4",5,"N",1.52534696506891,2.00570883104676,-0.0349664464265273,-0.088290275283569,0.0849842662235557,0.123447720192385
"19","SR1","SR5",5,"N",1.65937130568623,2.200314085717,-0.0814641522056699,-0.074930896806037,0.0732013135545848,0.149061710588088
"20","SR2","SR5",5,"N",1.52534696506891,2.200314085717,-0.0349664464265273,-0.074930896806037,0.0590060129193183,0.130683055286994
"110","SR1","SR4",1,"Cd",1.26416322238469,2.10016201366349,0.00884187276201351,0.0200004163448041,0.0256779707137561,-0.00470359565217215
"21","SR2","SR4",1,"Cd",1.56080755058143,2.10016201366349,0.0408666050199537,0.0200004163448041,0.0187296434061799,0.0172458232111489
"31","SR1","SR5",1,"Cd",1.26416322238469,2.68616999136495,0.00884187276201351,0.0498559147885258,0.0164035856896953,0.039994326286649
"41","SR2","SR5",1,"Cd",1.56080755058143,2.68616999136495,0.0408666050199537,0.0498559147885258,0.0257013085483973,0.0194537264019033
"51","SR1","SR4",2,"Cd",1.0987928950109,1.36271076325543,-0.00102362373560701,-0.0101629239094588,-0.00337692193997738,-0.0402538118585289
"71","SR1","SR5",2,"Cd",1.0987928950109,1.61358407149258,-0.00102362373560701,0.00848200369940319,-0.000493171073650246,0.0452933015240707
"91","SR1","SR4",3,"Cd",1.15694519302437,1.98750826188087,0.00942248874373889,0.00827452783548479,-0.00736432591761999,0.0515223587964128
"101","SR2","SR4",3,"Cd",1.47975980659137,1.98750826188087,0.0242871591482336,0.00827452783548479,0.0279083359437125,-0.0288987364394972
"111","SR1","SR5",3,"Cd",1.15694519302437,1.87559880002247,0.00942248874373889,0.0278861011103491,-0.00781117080290195,0.0456645700289108
"121","SR2","SR5",3,"Cd",1.47975980659137,1.87559880002247,0.0242871591482336,0.0278861011103491,0.025642621388844,-0.00344426323487652
"131","SR1","SR4",4,"Cd",1.20288257165883,1.59507190997079,0.00518490997485154,-0.0142027114369683,0.00625782689748758,-0.0560039396417281
"141","SR2","SR4",4,"Cd",1.21802300431201,1.59507190997079,0.0022427450515555,-0.0142027114369683,-0.00433063072046006,0.0104781648134473
"151","SR1","SR5",4,"Cd",1.20288257165883,2.28842184444898,0.00518490997485154,0.0309074078973994,0.0139131052616062,0.0551208386157867
"161","SR2","SR5",4,"Cd",1.21802300431201,2.28842184444898,0.0022427450515555,0.0309074078973994,-0.0211744416993648,-0.00668967152678287
"171","SR1","SR4",5,"Cd",1.39180888168364,1.7420201635,0.02277128644205,0.020564716846235,0.0335081689758044,-0.00974721030568155
"181","SR2","SR4",5,"Cd",1.38604742130601,1.7420201635,-0.0160167508155083,0.020564716846235,0.0166262825903577,0.00297419046974112
"191","SR1","SR5",5,"Cd",1.39180888168364,2.53376825861032,0.02277128644205,0.0507834973207735,-0.0271348104104368,0.0140118518974506
"201","SR2","SR5",5,"Cd",1.38604742130601,2.53376825861032,-0.0160167508155083,0.0507834973207735,0.00198447600511227,0.00171774390291933
