"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.16951916744112,2.73933983577598,0.0259774939153692,-0.0350020972221262,0.131002555209905,0.174895195407229
"2","SR2","SR4",1,"N",1.91082705946853,2.73933983577598,-0.000881124942527615,-0.0350020972221262,0.0894166433148566,0.168384580127792
"3","SR1","SR5",1,"N",2.16951916744112,2.44927335100824,0.0259774939153692,-0.0573681281972903,0.118130588187531,0.144961582791239
"4","SR2","SR5",1,"N",1.91082705946853,2.44927335100824,-0.000881124942527615,-0.0573681281972903,0.0828310023945065,0.189838610767885
"5","SR1","SR4",2,"N",1.53048416788506,6.73014470048297,-0.0158282200565238,-0.0112191275902726,0.063142820958069,0.288258890845256
"7","SR1","SR5",2,"N",1.53048416788506,4.02551203274254,-0.0158282200565238,0.00814949207419106,0.0616352764205923,0.184263278732019
"9","SR1","SR4",3,"N",1.67965057120668,2.5211784836192,0.00174223728007731,-0.129753112157632,0.0818059643417787,0.132587906705028
"10","SR2","SR4",3,"N",1.82236275635891,2.5211784836192,-0.0623358974273737,-0.129753112157632,0.0812477008246655,0.163953842785573
"11","SR1","SR5",3,"N",1.67965057120668,2.87591310281755,0.00174223728007731,-0.023767057286817,0.0919078214406243,0.168822027980678
"12","SR2","SR5",3,"N",1.82236275635891,2.87591310281755,-0.0623358974273737,-0.023767057286817,0.149472732328985,0.183810219018075
"13","SR1","SR4",4,"N",1.76146159231326,2.3401551446971,0.00319957230951554,-0.0509724489127117,0.108526050728541,0.157258614773463
"14","SR2","SR4",4,"N",2.03681697068904,2.3401551446971,0.0221546374436793,-0.0509724489127117,0.104724263059136,0.142761368712375
"15","SR1","SR5",4,"N",1.76146159231326,2.31831583894226,0.00319957230951554,-0.00942874792788206,0.112324434869802,0.136273201419424
"16","SR2","SR5",4,"N",2.03681697068904,2.31831583894226,0.0221546374436793,-0.00942874792788206,0.100187308290054,0.154184685608815
"17","SR1","SR4",5,"N",1.77798015381153,2.23646485397401,-0.0601249709802569,-0.0435563185010253,0.0931911125042043,0.106252688339129
"18","SR2","SR4",5,"N",1.70625250835473,2.23646485397401,-0.0208955555259124,-0.0435563185010253,0.119196203783701,0.15465420708838
"19","SR1","SR5",5,"N",1.77798015381153,2.87333987393569,-0.0601249709802569,-0.0553721721159549,0.0891088903570048,0.184049421562617
"20","SR2","SR5",5,"N",1.70625250835473,2.87333987393569,-0.0208955555259124,-0.0553721721159549,0.0770542066205564,0.174456644329614
"110","SR1","SR4",1,"Cd",1.27601399138952,2.19180246428782,0.0287008043215356,0.0415633865097379,0.0271655381530298,0.0348842850859312
"21","SR2","SR4",1,"Cd",1.6534264162309,2.19180246428782,0.0478124344222139,0.0415633865097379,0.0250463735674056,0.0396408707313506
"31","SR1","SR5",1,"Cd",1.27601399138952,3.22254266502621,0.0287008043215356,0.0773316264315401,0.0254810506720162,0.0714524909120856
"41","SR2","SR5",1,"Cd",1.6534264162309,3.22254266502621,0.0478124344222139,0.0773316264315401,0.0310854516299026,0.0554529266816743
"51","SR1","SR4",2,"Cd",1.17703535912956,1.54925098182367,0.0126665517651961,0.0104564012600603,0.018508891856865,-0.0123358999853894
"71","SR1","SR5",2,"Cd",1.17703535912956,1.99840574843115,0.0126665517651961,0.0367933517291015,0.0076153992616173,0.0563330418219621
"91","SR1","SR4",3,"Cd",1.26630416255115,2.20348517613766,0.0148103730638256,0.0143597505921134,0.00882383058279422,0.0515354073323609
"101","SR2","SR4",3,"Cd",1.52538329813897,2.20348517613766,0.0351782166218048,0.0143597505921134,0.0420664314885114,0.0223156683087441
"111","SR1","SR5",3,"Cd",1.26630416255115,2.19701428980935,0.0148103730638256,0.0554834274727268,0.0134128465947137,0.0582064555342838
"121","SR2","SR5",3,"Cd",1.52538329813897,2.19701428980935,0.0351782166218048,0.0554834274727268,0.0397194084013929,0.0316777590350097
"131","SR1","SR4",4,"Cd",1.24518249059601,1.62006139387015,0.00788161715811158,-0.00887126151395493,0.0101417673411727,-0.0255656806118568
"141","SR2","SR4",4,"Cd",1.281905001307,1.62006139387015,0.0172703465190441,-0.00887126151395493,0.0127002680739086,0.0213363306665639
"151","SR1","SR5",4,"Cd",1.24518249059601,2.47622428678394,0.00788161715811158,0.062228121295464,0.0228604254686214,0.0716374061699419
"161","SR2","SR5",4,"Cd",1.281905001307,2.47622428678394,0.0172703465190441,0.062228121295464,0.00198387327027163,0.0261677518648293
"171","SR1","SR4",5,"Cd",1.41455458904045,1.77289127285567,0.0356048269500468,0.0343984093671969,0.0492341088797183,0.0107567478310783
"181","SR2","SR4",5,"Cd",1.4817104280963,1.77289127285567,-0.00199388205187899,0.0343984093671969,0.0736931892933493,0.0532491150192872
"191","SR1","SR5",5,"Cd",1.41455458904045,2.63050482660831,0.0356048269500468,0.074036221481191,-0.0162158260833606,0.0627987965699877
"201","SR2","SR5",5,"Cd",1.4817104280963,2.63050482660831,-0.00199388205187899,0.074036221481191,0.0311249507053581,0.042388672015833
