"","SRTe","SRTu","Env","Replicate","predTu1","predTe1","predTu2","predTe2","predTu1_L","predTe1_L","predTu2_L","predTe2_L","predTu1_U","predTe1_U","predTu2_U","predTe2_U","TeRatio","TeRatio_L","TeRatio_U"
"1","SR4","SR1","N","1",8.76515203505319,14.234359629619,8.01698843950939,21.8439815897244,5.32999853230186,6.59111617521979,4.76028805883022,7.70432924507883,14.1061988966671,29.2928261585756,23.0839047005057,157.80151168516,0.731522839624407,0.618095931646667,0.872383826392678
"2","SR4","SR1","N","2",11.7080731466845,9.43599500585001,22.1455816155506,4.57394968365377,7.38140075774063,1.58688758121958,9.94787892528947,0.267380321083106,18.2660916973175,50.2178434594285,229.198640207315,6370.10647209312,0.171183754401784,0.0261745996488588,0.965269276642459
"3","SR4","SR1","N","3",8.00535900657276,30.493164327921,1.6246237205076,103.293050865123,4.97550687206637,13.5278716586277,2.17766538823026,22.197428011699,12.5902420292621,65.3002606009041,1.50693577549033,5082.34485749778,0.984515252297346,0.910660223839939,0.999703583850048
"4","SR4","SR1","N","4",7.93907190513082,15.7934268397985,6.00595575426934,22.1607736353713,5.2443458814423,7.58942341351094,4.19503057757161,9.0638567690389,11.8211018013875,31.4644355494639,11.5636468728794,107.914412522356,0.786771276452201,0.683606137686657,0.903215310564873
"5","SR4","SR1","N","5",14.1177977940715,15.2674946343266,26.7685717904188,14.6289853521936,8.28219606890584,7.75107689673179,9.82257075267151,6.74002888790252,23.5058768195697,28.9006303079198,179.096230033529,71.521800117952,0.35337798560909,0.406942692220321,0.285381702484543
"6","SR4","SR1","Cd","1",6.16128200306824,11.7055508782868,5.45938949582672,20.1860759462453,4.92433475629247,7.18674905710785,3.97389417077009,8.4119598735208,7.66327076865991,18.737703611059,8.0657108677163,62.5168774605148,0.787120670195736,0.679158646908018,0.885726620987485
"7","SR4","SR1","Cd","2",6.769056631119,11.0601513240369,7.78003974273948,22.1282075879211,5.4710127515773,7.42757716010291,4.92603722962393,9.04073036056273,8.34994701992209,16.1935553774265,14.5367859366832,67.2335565724737,0.739869753759735,0.647302985618156,0.822224225915951
"8","SR4","SR1","Cd","3",6.86555751104629,8.33293770833262,7.9330934492025,10.8800203620753,5.0062269173643,5.66029675190278,4.29100871809779,5.79466977077205,9.32364337965299,12.0994004049215,17.6196651338987,24.2896405426239,0.578321083432405,0.574544367755409,0.579576305322349
"9","SR4","SR1","Cd","4",6.72862455712444,14.5633472394919,7.12888866358537,41.4657170707383,5.53964619085053,10.1168659409265,4.76826430337333,16.4482829556807,8.14378147294324,20.7564207865938,12.2483405681294,138.827930291558,0.853298765246488,0.775257291153323,0.918926112628865
"10","SR4","SR1","Cd","5",5.96309154779046,9.78381692748199,5.22751384859568,14.7578585305712,4.55299047523182,6.74045961405436,3.51449607253788,7.50592573009815,7.73692200942408,14.0369838791431,8.43557222241064,34.4678567797505,0.738433002427068,0.681092417742375,0.803382330536198
"11","SR4","SR2","N","1",11.6056976697054,19.8925540991846,20.3783279801839,39.2753769069659,7.82878395044439,9.35362986883896,8.95139826426817,10.0936920898947,16.9547915403846,40.3130157216666,100.776995891664,593.607690940527,0.658389566603873,0.529989194180349,0.854868637222671
"12","SR4","SR2","N","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","SR4","SR2","N","3",13.4177075692792,36.8160552829601,6.68710695758841,123.726729019717,7.79559983551159,15.8017441347253,4.37651007268084,20.2301287759467,22.5670857863899,81.4908564320363,46.4280308084236,21285.6351015141,0.948723945527129,0.822141085598737,0.997823556468944
"14","SR4","SR2","N","4",8.11972159112301,18.8675597524239,5.29629926355355,28.478585023244,4.9695723760695,9.07175313291224,3.54065137166825,11.3371835931242,13.0054117574519,37.5678401033798,13.5217999042593,171.836803135616,0.843188233641888,0.762018372965758,0.927050594455816
"15","SR4","SR2","N","5",7.95955530102788,12.9682594217733,5.92051490622102,17.5881718450627,5.49746961097939,6.65750097895089,4.87583332446772,7.53388659374595,11.3553720608737,24.276492999574,7.3361600993324,70.2171796901653,0.748156289253473,0.607095618869569,0.905404975217768
