"","SRTu","SRTe","Rep2","Env","sum_Te","sum_Tu","sdTe","sdTu","meanTeRatio","Te_ratio","SRTu2","SRTe2"
"1","Tu1","Te4","1","Cd",1436,95,116.978820495184,15.5652747414807,0.95781715309821,0.937949052906597,"SR1","SR4"
"2","Tu1","Te4","1","N",1574,909,92.6717025010572,55.4185087413141,0.623613796850133,0.633910592025775,"SR1","SR4"
"3","Tu1","Te4","2","Cd",1135,1,87.1591774985413,0.316227766016838,0.999242424242424,0.999119718309859,"SR1","SR4"
"4","Tu1","Te4","2","N",624,486,73.9492318343395,64.9071131181578,0.648118798695009,0.562162162162162,"SR1","SR4"
"5","Tu1","Te4","3","Cd",2862,129,185.514779285461,26.3963381298745,0.938077551820823,0.956870611835506,"SR1","SR4"
"6","Tu1","Te4","3","N",2487,1038,217.859307301244,112.154456987773,0.769864264831318,0.705531914893617,"SR1","SR4"
"7","Tu1","Te4","4","Cd",2745,91,169.633755812666,8.2522724143111,0.962226794300001,0.967912552891396,"SR1","SR4"
"8","Tu1","Te4","4","N",4329,1788,318.54336875499,201.675096242557,0.773240216987204,0.707699852869053,"SR1","SR4"
"9","Tu1","Te4","5","Cd",1806,127,146.026785975116,17.8141641522819,0.955520760369343,0.934299017071909,"SR1","SR4"
"10","Tu1","Te4","5","N",3285,1222,205.584937839976,72.2108025159671,0.722214415720347,0.728866208120701,"SR1","SR4"
"11","Tu1","Te5","1","Cd",1610,49,45.2646538580479,6.6072350915913,0.970401584215362,0.970464135021097,"SR1","SR5"
"12","Tu1","Te5","1","N",1173,652,130.388351558804,74.8625406996049,0.601472646097876,0.642739726027397,"SR1","SR5"
"13","Tu1","Te5","2","Cd",1296,131,90.6068430086823,20.930838492521,0.914772390172556,0.908199018920813,"SR1","SR5"
"14","Tu1","Te5","2","N",1046,1275,89.3136794300477,146.90151651891,0.563566428534963,0.450667815596726,"SR1","SR5"
"15","Tu1","Te5","3","Cd",3084,57,146.102095201343,9.62692982096461,0.979449281780816,0.981852913085005,"SR1","SR5"
"16","Tu1","Te5","3","N",69,1,20.4366228999694,0.316227766016838,0.916666666666667,0.985714285714286,"SR1","SR5"
"17","Tu1","Te5","4","Cd",4627,170,138.121564813995,15.6985491190888,0.956678695813279,0.964561184073379,"SR1","SR5"
"18","Tu1","Te5","4","N",701,389,116.368619290406,52.4159644892025,0.506511477646192,0.643119266055046,"SR1","SR5"
"19","Tu1","Te5","5","Cd",3788,142,154.56807202294,11.8114821724926,0.957055515318087,0.963867684478371,"SR1","SR5"
"20","Tu1","Te5","5","N",4473,1592,171.481809854897,112.693093547623,0.747768886440844,0.737510305028854,"SR1","SR5"
"21","Tu2","Te4","1","Cd",598,84,77.5582934887617,15.5005376250847,0.918384037247086,0.87683284457478,"SR2","SR4"
"22","Tu2","Te4","1","N",1160,410,144.199707196497,43.3922676163495,0.648393612389265,0.738853503184713,"SR2","SR4"
"23","Tu2","Te4","3","Cd",2017,368,125.486652676689,25.917818838269,0.81950550479845,0.845702306079665,"SR2","SR4"
"24","Tu2","Te4","3","N",2517,1089,248.937765538118,101.307507673968,0.683700432422353,0.698003327787022,"SR2","SR4"
"25","Tu2","Te4","4","Cd",2840,271,181.091750839795,22.698262292764,0.912872195167234,0.912889746062359,"SR2","SR4"
"26","Tu2","Te4","4","N",3067,893,276.590371006175,106.361072661843,0.788510420852621,0.774494949494949,"SR2","SR4"
"27","Tu2","Te4","5","Cd",958,69,50.9636035704785,8.74896819313252,0.923613931242125,0.932814021421616,"SR2","SR4"
"28","Tu2","Te4","5","N",5342,850,257.333678756245,58.1874365974115,0.826914186889085,0.862726098191214,"SR2","SR4"
"29","Tu2","Te5","1","Cd",956,248,58.3270472803522,32.6795892807048,0.833568550845842,0.794019933554817,"SR2","SR5"
"30","Tu2","Te5","1","N",878,117,176.119782471413,23.099062030019,0.79165609048865,0.882412060301508,"SR2","SR5"
"31","Tu2","Te5","3","Cd",3939,199,230.258043652478,21.8197158551618,0.95176459835841,0.951909134847753,"SR2","SR5"
"32","Tu2","Te5","3","N",1316,595,157.948796203777,59.4310992289017,0.722806510979414,0.688644688644689,"SR2","SR5"
"33","Tu2","Te5","4","Cd",2462,247,144.212651625608,23.5232745264014,0.907000845839785,0.908822443706165,"SR2","SR5"
"34","Tu2","Te5","4","N",637,22,150.006703553912,5.94044517598546,0.871176407275858,0.966616084977238,"SR2","SR5"
"35","Tu2","Te5","5","Cd",2922,85,251.814658473692,9.72111104761179,0.966223153739134,0.971732623877619,"SR2","SR5"
"36","Tu2","Te5","5","N",5470,962,291.931879420906,43.0085262864625,0.822501896231194,0.850435323383085,"SR2","SR5"
