"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.15351920978089,3.84351232158197,0.0280544294869872,-0.0266532805124586,0.00679418040948291,0.0602996940700208
"2","SR2","SR4",1,"N",1.67180018467125,3.84351232158197,-0.0373639351542768,-0.0266532805124586,-0.0093796952168055,0.00543517320010953
"3","SR1","SR5",1,"N",2.15351920978089,4.14084200959827,0.0280544294869872,0.00333570561937029,0.0187940391320885,0.0156453283391538
"4","SR2","SR5",1,"N",1.67180018467125,4.14084200959827,-0.0373639351542768,0.00333570561937029,0.00769351647354001,0.05423982615021
"5","SR1","SR4",2,"N",1.77618650637314,3.43342564235013,-0.0214983992846143,-0.0731117120513937,-0.0250071679646091,0.0400517695793541
"7","SR1","SR5",2,"N",1.77618650637314,2.64471567869531,-0.0214983992846143,-0.0415980616254216,-0.0559980247846823,0.143997625746291
"9","SR1","SR4",3,"N",2.76095720922216,6.26064217972952,0.0536532652134208,-0.0360178226657984,0.0418417053170814,0.01949920759209
"10","SR2","SR4",3,"N",2.97676369223855,6.26064217972952,0.0041077990287355,-0.0360178226657984,0.00670644384333535,-0.0180425659949913
"11","SR1","SR5",3,"N",2.76095720922216,3.7537432794094,0.0536532652134208,0.0072762206687419,0.0421492574163408,-0.0182469745510611
"12","SR2","SR5",3,"N",2.97676369223855,3.7537432794094,0.0041077990287355,0.0072762206687419,-0.00740803685870959,-0.0768208713395887
"13","SR1","SR4",4,"N",1.83804775619176,4.2565264744581,0.00568459285817794,0.00999472411155097,0.0265012495635297,0.0252456851078556
"14","SR2","SR4",4,"N",2.22506467512654,4.2565264744581,0.0371736658649597,0.00999472411155097,0.0159799848693648,-0.00373630054605568
"15","SR1","SR5",4,"N",1.83804775619176,4.29336227997674,0.00568459285817794,0.0128565562845337,0.0424173646300768,0.0412918689201385
"16","SR2","SR5",4,"N",2.22506467512654,4.29336227997674,0.0371736658649597,0.0128565562845337,0.0132059583351238,0.0334394042997786
"17","SR1","SR4",5,"N",2.25958712573694,4.11216008219263,-0.0463453508241979,-0.00427457749824434,0.00667788642772381,0.0414352329444184
"18","SR2","SR4",5,"N",2.20476718926716,4.11216008219263,0.0108150331239032,-0.00427457749824434,0.054816904125764,0.0700594682167378
"19","SR1","SR5",5,"N",2.25958712573694,4.04056701709223,-0.0463453508241979,-0.000997292597677987,-0.0222733913567443,0.0985034170897267
"20","SR2","SR5",5,"N",2.20476718926716,4.04056701709223,0.0108150331239032,-0.000997292597677987,-0.0625052730811932,0.0666007718219419
"110","SR1","SR4",1,"Cd",1.16227514472227,1.81193840439527,-0.00562554307263789,0.00148980759637625,0.0158906603699036,-0.0497298007939746
"21","SR2","SR4",1,"Cd",1.40001267110768,1.81193840439527,0.0276266871057265,0.00148980759637625,-0.00172922625446776,-0.0111941615623516
"31","SR1","SR5",1,"Cd",1.16227514472227,2.30036074976422,-0.00562554307263789,0.0238858660167748,0.00380148690266935,0.0150081909559733
"41","SR2","SR5",1,"Cd",1.40001267110768,2.30036074976422,0.0276266871057265,0.0238858660167748,0.00657411825040654,-0.0120949190412253
"51","SR1","SR4",2,"Cd",1.03641761320762,1.17961259292339,-0.0109938617047106,-0.0275425607561305,-0.0197474497744146,-0.0661844412272461
"71","SR1","SR5",2,"Cd",1.03641761320762,1.30534192155726,-0.0109938617047106,-0.0168242682993917,-0.00973614918013992,0.0284771510284144
"91","SR1","SR4",3,"Cd",1.10339453437156,1.82226883370607,0.0026785206908878,-0.0229271470586074,-0.0213416927779221,0.0256201720070629
"101","SR2","SR4",3,"Cd",1.30389314060388,1.82226883370607,0.00482390588927931,-0.0229271470586074,0.00862695295571196,-0.0650246925389898
"111","SR1","SR5",3,"Cd",1.10339453437156,1.56028806334786,0.0026785206908878,0.00752604726171585,-0.0147099420376404,0.0240497779946671
"121","SR2","SR5",3,"Cd",1.30389314060388,1.56028806334786,0.00482390588927931,0.00752604726171585,0.00379140284822137,-0.0356774459097076
"131","SR1","SR4",4,"Cd",1.12768070574694,1.43346640207271,-0.00494253449595827,-0.0340086562416677,-0.00674808648555682,-0.080056437271026
"141","SR2","SR4",4,"Cd",1.12679527212219,1.43346640207271,-0.00971849675001366,-0.0340086562416677,-0.018372017414035,-0.0100046344975279
"151","SR1","SR5",4,"Cd",1.12768070574694,1.99171943278413,-0.00494253449595827,0.0052353505391242,-0.000320005843062063,0.029456292649938
"161","SR2","SR5",4,"Cd",1.12679527212219,1.99171943278413,-0.00971849675001366,0.0052353505391242,-0.046663419988481,-0.0341390952497243
"171","SR1","SR4",5,"Cd",1.25478402158677,1.55544300156092,0.0087685659978073,0.00106925897095689,0.0186327609630397,-0.0327300475926081
"181","SR2","SR4",5,"Cd",1.27661683888808,1.55544300156092,-0.0328152345544253,0.00106925897095689,-0.00517127132918024,-0.025574440120174
"191","SR1","SR5",5,"Cd",1.25478402158677,2.19233563609499,0.0087685659978073,0.0287366799341491,-0.0490399459596865,-0.0176671851367963
"201","SR2","SR5",5,"Cd",1.27661683888808,2.19233563609499,-0.0328152345544253,0.0287366799341491,-0.0212934976412185,-0.0286213600873434
