"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.87811376376036,5.94756741291756,0.0735144042370974,0.0638706931371274,0.0728279868660105,0.143957991494209
"2","SR2","SR4",1,"N",2.13274372200673,5.94756741291756,0.00468565564133547,0.0638706931371274,0.0364953914003096,0.0872602584473419
"3","SR1","SR5",1,"N",2.87811376376036,6.18347268604295,0.0735144042370974,0.080550805741237,0.0698477556328488,0.102577686360385
"4","SR2","SR5",1,"N",2.13274372200673,6.18347268604295,0.00468565564133547,0.080550805741237,0.0569990886543797,0.154927370909721
"5","SR1","SR4",2,"N",2.27636728261692,6.80996744817941,0.0299322528387552,0.0258773131758219,0.0291336210287831,0.400753821833001
"7","SR1","SR5",2,"N",2.27636728261692,4.54493497402696,0.0299322528387552,0.0319549204472929,0.00598101130598914,0.48555981829003
"9","SR1","SR4",3,"N",3.73233977820303,9.91615567670113,0.101719137848958,0.0582845174469968,0.0992097274688177,0.113130009326717
"10","SR2","SR4",3,"N",4.04770323140106,9.91615567670113,0.0657579319004666,0.0582845174469968,0.073906599648216,0.0878612839822122
"11","SR1","SR5",3,"N",3.73233977820303,5.99670230411071,0.101719137848958,0.0929776386256378,0.0895391889620781,0.074403026424998
"12","SR2","SR5",3,"N",4.04770323140106,5.99670230411071,0.0657579319004666,0.0929776386256378,0.0577555997729747,0.0176330069587739
"13","SR1","SR4",4,"N",2.37678811324954,6.56026739019256,0.0453966584623085,0.090937189185669,0.0775596857243006,0.113861858878561
"14","SR2","SR4",4,"N",2.93946291811216,6.56026739019256,0.084871760727395,0.090937189185669,0.0773512742741206,0.0835604440498974
"15","SR1","SR5",4,"N",2.37678811324954,6.48130753163076,0.0453966584623085,0.0964948194256071,0.0795929350515824,0.122085159372855
"16","SR2","SR5",4,"N",2.93946291811216,6.48130753163076,0.084871760727395,0.0964948194256071,0.0728156408367942,0.108561874831314
"17","SR1","SR4",5,"N",3.0856332744985,6.03524006290031,0.0130540284164362,0.079077913867916,0.0690730395897279,0.113796025130592
"18","SR2","SR4",5,"N",2.83785566700157,6.03524006290031,0.0559617634966787,0.079077913867916,0.0924614698487499,0.139578871749656
"19","SR1","SR5",5,"N",3.0856332744985,6.03100222829209,0.0130540284164362,0.0830972848206757,0.0322244644785215,0.167699643157054
"20","SR2","SR5",5,"N",2.83785566700157,6.03100222829209,0.0559617634966787,0.0830972848206757,-0.0177385332888591,0.13444951049813
"110","SR1","SR4",1,"Cd",1.3647600934916,2.34670029082526,0.0235626322730453,0.0423971443718961,0.0352969798919192,0.0270884852672866
"21","SR2","SR4",1,"Cd",1.71936922652601,2.34670029082526,0.0539682640556339,0.0423971443718961,0.0388548734893601,0.0571085358219004
"31","SR1","SR5",1,"Cd",1.3647600934916,3.07009948190466,0.0235626322730453,0.0755692349840205,0.0285112522457254,0.0653439640685578
"41","SR2","SR5",1,"Cd",1.71936922652601,3.07009948190466,0.0539682640556339,0.0755692349840205,0.0446482576117998,0.0513958197009981
"51","SR1","SR4",2,"Cd",1.16115508725217,1.54641376111692,0.00928620962469858,0.00739851367447197,0.0126564319273514,-0.0143019745398179
"71","SR1","SR5",2,"Cd",1.16115508725217,1.91865919853717,0.00928620962469858,0.0334841003333438,0.00889310404154476,0.0618355781120847
"91","SR1","SR4",3,"Cd",1.2071605386036,2.13797906750435,0.0157135144190628,0.0373409322955437,0.0061439340362355,0.0782003271619505
"101","SR2","SR4",3,"Cd",1.65971499395958,2.13797906750435,0.0444586851080721,0.0373409322955437,0.0469701166479607,0.0062451746359633
"111","SR1","SR5",3,"Cd",1.2071605386036,2.19174967958246,0.0157135144190628,0.0483586948235727,-0.00100154502388562,0.067924059553486
"121","SR2","SR5",3,"Cd",1.65971499395958,2.19174967958246,0.0444586851080721,0.0483586948235727,0.0477878692931376,0.0284434584378235
"131","SR1","SR4",4,"Cd",1.27375718472506,1.76133156389992,0.0153234820873112,0.0062336715685422,0.0191368788113636,-0.0316258344253884
"141","SR2","SR4",4,"Cd",1.30891694166569,1.76133156389992,0.0137376037322331,0.0062336715685422,0.00971271485798215,0.0306080682462942
"151","SR1","SR5",4,"Cd",1.27375718472506,2.58362936018117,0.0153234820873112,0.0564896093902225,0.028275835112657,0.0802808746080288
"161","SR2","SR5",4,"Cd",1.30891694166569,2.58362936018117,0.0137376037322331,0.0564896093902225,0.00468572594598545,0.0204538326013233
"171","SR1","SR4",5,"Cd",1.53024984967751,1.92776072850496,0.0368877718291126,0.0399329866442211,0.0481386549915225,0.0136728300599674
"181","SR2","SR4",5,"Cd",1.49552344951858,1.92776072850496,0.000654020696482273,0.0399329866442211,0.0387918800636279,0.0320625888807749
"191","SR1","SR5",5,"Cd",1.53024984967751,2.88805429305961,0.0368877718291126,0.0746838933767398,-0.00527488044238633,0.045835818295972
"201","SR2","SR5",5,"Cd",1.49552344951858,2.88805429305961,0.000654020696482273,0.0746838933767398,0.0250509359139224,0.0314901992525601
