"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.91108875463798,4.14227889358751,0.0685890215945646,-0.0961245454420858,0.0680465621200521,0.145543243346481
"2","SR2","SR4",1,"N",2.47635246836682,4.14227889358751,0.0217948210900936,-0.0961245454420858,0.0483430478497499,0.0953226188621155
"3","SR1","SR5",1,"N",2.91108875463798,6.83648105704785,0.0685890215945646,0.0799841064475968,0.0728510623121995,0.104629508880496
"4","SR2","SR5",1,"N",2.47635246836682,6.83648105704785,0.0217948210900936,0.0799841064475968,0.0676470980227685,0.15424492603082
"5","SR1","SR4",2,"N",2.84055272130546,7.73455306373745,0.0601896202827699,0.0348290980675009,0.0495737755892348,0.129155945703387
"7","SR1","SR5",2,"N",2.84055272130546,7.33572411227183,0.0601896202827699,0.0969641902026444,0.0237179763969459,0.137661570282871
"9","SR1","SR4",3,"N",3.99364588983644,13.9150875833003,0.114611419489523,0.110420928480155,0.11119717326555,0.165155563304846
"10","SR2","SR4",3,"N",3.8215781072012,13.9150875833003,0.0502583892030162,0.110420928480155,0.0566221946552034,0.0975574744096942
"11","SR1","SR5",3,"N",3.99364588983644,8.53524597449042,0.114611419489523,0.123948400618819,0.106497004947339,0.102534345907046
"12","SR2","SR5",3,"N",3.8215781072012,8.53524597449042,0.0502583892030162,0.123948400618819,0.0427106345598712,0.0805638425952074
"13","SR1","SR4",4,"N",2.37838760832914,5.2389753644074,0.039316183967453,0.0943018929117516,0.0732497770016808,0.056870576115489
"14","SR2","SR4",4,"N",2.25659276270779,5.2389753644074,0.0342835498348527,0.0943018929117516,0.0360299022277639,0.0673065078947143
"15","SR1","SR5",4,"N",2.37838760832914,6.87156196912803,0.039316183967453,0.0937489394969331,0.0817552320304296,0.124086726123331
"16","SR2","SR5",4,"N",2.25659276270779,6.87156196912803,0.0342835498348527,0.0937489394969331,0.0326577279827859,0.112575197331578
"17","SR1","SR4",5,"N",3.34480684668274,6.83669992593848,0.0159851001497388,0.0872718988217912,0.0670485865853339,0.136540576266503
"18","SR2","SR4",5,"N",2.77099010448427,6.83669992593848,0.0507761064933799,0.0872718988217912,0.0923432586177138,0.149315156762176
"19","SR1","SR5",5,"N",3.34480684668274,8.00669529178396,0.0159851001497388,0.110704666520859,0.0347513598511305,0.204464620242824
"20","SR2","SR5",5,"N",2.77099010448427,8.00669529178396,0.0507761064933799,0.110704666520859,-0.021065694298053,0.17328970987335
"110","SR1","SR4",1,"Cd",1.31545414113706,2.46849360468594,0.0133727361377563,0.0500797793376942,0.0326093649277089,0.0207011853240416
"21","SR2","SR4",1,"Cd",1.52192086816902,2.46849360468594,0.0367789132415034,0.0500797793376942,0.0210662043606157,0.0445760260271808
"31","SR1","SR5",1,"Cd",1.31545414113706,2.93774935468168,0.0133727361377563,0.0675530117392148,0.0233505230984207,0.0599708427204093
"41","SR2","SR5",1,"Cd",1.52192086816902,2.93774935468168,0.0367789132415034,0.0675530117392148,0.0279453809343729,0.040265202665626
"51","SR1","SR4",2,"Cd",1.10413583347984,1.31944617536929,0.00109860553775707,-0.014706916093043,-0.00290043609345781,-0.0450607241816424
"71","SR1","SR5",2,"Cd",1.10413583347984,1.98310490968237,0.00109860553775707,0.0392024962809579,0.000181131050011805,0.0747097466886043
"91","SR1","SR4",3,"Cd",1.12644790892341,2.21089301651552,0.00298958177295695,0.0214112238747167,-0.00984128714445352,0.0688683581450429
"101","SR2","SR4",3,"Cd",1.36665763470407,2.21089301651552,0.00999577568924175,0.0214112238747167,0.0199802671349686,-0.0126453176720862
"111","SR1","SR5",3,"Cd",1.12644790892341,1.9285647142429,0.00298958177295695,0.0270742565619218,-0.0102172102624573,0.0547531544573077
"121","SR2","SR5",3,"Cd",1.36665763470407,1.9285647142429,0.00999577568924175,0.0270742565619218,0.0176961104175149,0.00434393862070574
"131","SR1","SR4",4,"Cd",1.24266686008474,1.89140591589489,0.00633969827019278,0.00707853128178447,0.0116091183398939,-0.0333699083472616
"141","SR2","SR4",4,"Cd",1.21813625901475,1.89140591589489,0.00103731667601249,0.00707853128178447,-0.00406449975834212,0.0335638467439232
"151","SR1","SR5",4,"Cd",1.24266686008474,2.53443992233765,0.00633969827019278,0.046426741269328,0.0191360978661862,0.0738241728670475
"161","SR2","SR5",4,"Cd",1.21813625901475,2.53443992233765,0.00103731667601249,0.046426741269328,-0.0207539185023972,0.0120270594212538
"171","SR1","SR4",5,"Cd",1.34785599691607,1.90581005594221,0.0142606541180396,0.0343178419579585,0.0320437856209504,0.00579925126737724
"181","SR2","SR4",5,"Cd",1.60288667883549,1.90581005594221,0.00227561300895424,0.0343178419579585,0.0351774170270226,0.0184102297550433
"191","SR1","SR5",5,"Cd",1.34785599691607,2.51447897890933,0.0142606541180396,0.0467984154919517,-0.028554709801941,0.0183082461307423
"201","SR2","SR5",5,"Cd",1.60288667883549,2.51447897890933,0.00227561300895424,0.0467984154919517,0.0202906542464294,0.00654513068826324
