"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.55792297214192,6.19178013320101,0.0498916445094771,0.0509392987934781,0.0338618550479836,0.125936968449833
"2","SR2","SR4",1,"N",2.20614511625785,6.19178013320101,0.00223697470105348,0.0509392987934781,0.0240848814559251,0.079641440237505
"3","SR1","SR5",1,"N",2.55792297214192,5.12446381882347,0.0498916445094771,0.0371163384280995,0.0493953873393283,0.0594521510799275
"4","SR2","SR5",1,"N",2.20614511625785,5.12446381882347,0.00223697470105348,0.0371163384280995,0.0418887053350451,0.0574090938753769
"5","SR1","SR4",2,"N",2.52213486027574,5.85208899529726,0.0382393136058702,-0.0064162970826061,0.0221974360194435,0.0943163225469346
"7","SR1","SR5",2,"N",2.52213486027574,6.00896686851023,0.0382393136058702,0.0687743781189844,-0.00699884290677873,0.104522327215454
"9","SR1","SR4",3,"N",3.55593212755517,11.7778191101549,0.0988305540295867,0.070251271877255,0.0833400463651544,0.117650113293871
"10","SR2","SR4",3,"N",3.35486456172063,11.7778191101549,0.0254763509939189,0.070251271877255,0.0237282602344933,0.0435577639628194
"11","SR1","SR5",3,"N",3.55593212755517,11.7152621323499,0.0988305540295867,0.115816158436718,0.0861378212113216,0.133599964584697
"12","SR2","SR5",3,"N",3.35486456172063,11.7152621323499,0.0254763509939189,0.115816158436718,0.0105305989364592,0.0790056247082971
"13","SR1","SR4",4,"N",2.12389974401423,5.65561195885225,0.022269131035124,0.0523099219911208,0.048156377408912,0.0658827797755595
"14","SR2","SR4",4,"N",2.01027844978967,5.65561195885225,0.0141987920875125,0.0523099219911208,0.00588688249545119,0.0375479928469225
"15","SR1","SR5",4,"N",2.12389974401423,5.87764717031803,0.022269131035124,0.0621921132307321,0.0638954403524684,0.0856526375763726
"16","SR2","SR5",4,"N",2.01027844978967,5.87764717031803,0.0141987920875125,0.0621921132307321,0.00392562371365572,0.0783541241626693
"17","SR1","SR4",5,"N",3.02584946526884,5.88487972029186,-0.00588374593728236,0.0590511425649186,0.0385584144351905,0.101798619982935
"18","SR2","SR4",5,"N",2.49146392635433,5.88487972029186,0.0321972953797995,0.0590511425649186,0.0741377069242403,0.117697823574965
"19","SR1","SR5",5,"N",3.02584946526884,6.89758204073526,-0.00588374593728236,0.0777371300393755,0.0102216726221164,0.169433031579674
"20","SR2","SR5",5,"N",2.49146392635433,6.89758204073526,0.0321972953797995,0.0777371300393755,-0.0436115944283552,0.139478414478809
"110","SR1","SR4",1,"Cd",1.224688446671,2.18633118718048,0.000120948793233478,0.0314644904542135,0.0229420697096675,-0.0187632952558598
"21","SR2","SR4",1,"Cd",1.37994287265888,2.18633118718048,0.0246797755662583,0.0314644904542135,0.000685729302048854,0.0110319536364888
"31","SR1","SR5",1,"Cd",1.224688446671,2.58133220273656,0.000120948793233478,0.0454937386361031,0.0111886617693128,0.0347194110093579
"41","SR2","SR5",1,"Cd",1.37994287265888,2.58133220273656,0.0246797755662583,0.0454937386361031,0.00857089660103467,0.00792286933200638
"51","SR1","SR4",2,"Cd",1.0520593635659,1.18871715415136,-0.00821010459502587,-0.029251199200612,-0.0189791361382097,-0.0713217426554569
"71","SR1","SR5",2,"Cd",1.0520593635659,1.65448188954478,-0.00821010459502587,0.0159248247582545,-0.00950135825773959,0.0572159667775379
"91","SR1","SR4",3,"Cd",1.0711638424244,1.96415632553752,-0.00357366905872222,-0.00010019404160062,-0.0253229713393711,0.0408331219424472
"101","SR2","SR4",3,"Cd",1.26033724964336,1.96415632553752,-0.00148246796742025,-0.00010019404160062,0.00296691829275622,-0.0402283615685359
"111","SR1","SR5",3,"Cd",1.0711638424244,1.72118643045254,-0.00357366905872222,0.0103394737762402,-0.0237727057579053,0.0297201359748452
"121","SR2","SR5",3,"Cd",1.26033724964336,1.72118643045254,-0.00148246796742025,0.0103394737762402,0.00318060200825324,-0.0194783449687156
"131","SR1","SR4",4,"Cd",1.16686457188337,1.70724513060064,-0.00470758832605542,-0.0115074578474047,-0.00157666311470148,-0.0589480658708413
"141","SR2","SR4",4,"Cd",1.1426273502448,1.70724513060064,-0.00938134187844404,-0.0115074578474047,-0.0179876681345359,0.012043349151824
"151","SR1","SR5",4,"Cd",1.16686457188337,2.26835398427136,-0.00470758832605542,0.0237874692539992,0.00415543913887286,0.0497439652086102
"161","SR2","SR5",4,"Cd",1.1426273502448,2.26835398427136,-0.00938134187844404,0.0237874692539992,-0.0460904125848244,-0.0150470638710617
"171","SR1","SR4",5,"Cd",1.24054484878941,1.7202826412599,0.00171729553244413,0.0165527036264603,0.0181763671540543,-0.0183042142923567
"181","SR2","SR4",5,"Cd",1.4985940150383,1.7202826412599,-0.0126966395357475,0.0165527036264603,0.0135832915412229,-0.0105064939838735
"191","SR1","SR5",5,"Cd",1.24054484878941,2.25113358992997,0.00171729553244413,0.0296136300611929,-0.0500931168216015,-0.00948568415408753
"201","SR2","SR5",5,"Cd",1.4985940150383,2.25113358992997,-0.0126966395357475,0.0296136300611929,-0.00141276012985073,-0.0214618140449899
