"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"Cd",1.22481896935347,2.18084103165328,0.000235708288803909,0.0308849727991491,0.0229173612941177,-0.0187939530147985
"2","SR2","SR4",1,"Cd",1.38081431553718,2.18084103165328,0.0247287970492441,0.0308849727991491,0.000747389535789639,0.0107587231549636
"3","SR1","SR5",1,"Cd",1.22481896935347,2.58380815160409,0.000235708288803909,0.045365480978044,0.0111225044770817,0.035294760856468
"4","SR2","SR5",1,"Cd",1.38081431553718,2.58380815160409,0.0247287970492441,0.045365480978044,0.00862515814266482,0.00796030261682504
"5","SR1","SR4",2,"Cd",1.05211034784619,1.18882901169965,-0.00831356607884623,-0.0292136983068563,-0.0188698287221011,-0.0714532012588338
"7","SR1","SR5",2,"Cd",1.05211034784619,1.65453490242366,-0.00831356607884623,0.0158249685137553,-0.0095352405624606,0.0572149457153574
"9","SR1","SR4",3,"Cd",1.07135060695794,1.9616125215705,-0.00348835525317659,-0.000534230974890089,-0.0252446204596858,0.0406483692132452
"10","SR2","SR4",3,"Cd",1.26074530560818,1.9616125215705,-0.00130798517285611,-0.000534230974890089,0.00297048773359163,-0.0403145846394288
"11","SR1","SR5",3,"Cd",1.07135060695794,1.72140164661958,-0.00348835525317659,0.0104264828052005,-0.0237532655284381,0.0301483172954187
"12","SR2","SR5",3,"Cd",1.26074530560818,1.72140164661958,-0.00130798517285611,0.0104264828052005,0.00330988884221859,-0.0194851237876282
"13","SR1","SR4",4,"Cd",1.1666392042931,1.70841767666315,-0.00462603467083775,-0.0117086671772516,-0.00167827730647953,-0.0590936678447138
"14","SR2","SR4",4,"Cd",1.14256132651323,1.70841767666315,-0.00939021801862229,-0.0117086671772516,-0.018012320644951,0.0122490988461697
"15","SR1","SR5",4,"Cd",1.1666392042931,2.27374062264803,-0.00462603467083775,0.0239362776580314,0.00415935599723267,0.0499745400583798
"16","SR2","SR5",4,"Cd",1.14256132651323,2.27374062264803,-0.00939021801862229,0.0239362776580314,-0.0460213156378663,-0.0148617269716422
"17","SR1","SR4",5,"Cd",1.24104717486336,1.72012151759301,0.00181851212966088,0.0163206408292499,0.0182512845490019,-0.0182091394901401
"18","SR2","SR4",5,"Cd",1.48471595253761,1.72012151759301,-0.0132211578453074,0.0163206408292499,0.0126111448262229,-0.0106723270785825
"19","SR1","SR5",5,"Cd",1.24104717486336,2.23640882128663,0.00181851212966088,0.0282381099893862,-0.0500859964003068,-0.0122557633796609
"20","SR2","SR5",5,"Cd",1.48471595253761,2.23640882128663,-0.0132211578453074,0.0282381099893862,-0.00342187457825276,-0.023597923930281
