"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.56249137019022,2.73700257118232,0.0478846173928788,-0.140290310898265,0.0338784541235656,0.0963794667943813
"2","SR2","SR4",1,"N",2.20884243340573,2.73700257118232,0.00323087511577015,-0.140290310898265,0.0243238741130848,0.0506705030346561
"3","SR1","SR5",1,"N",2.56249137019022,5.61165024088763,0.0478846173928788,0.0437987807233363,0.0480618994896566,0.0581194449333251
"4","SR2","SR5",1,"N",2.20884243340573,5.61165024088763,0.00323087511577015,0.0437987807233363,0.0423329010555769,0.103599961859428
"5","SR1","SR4",2,"N",2.52082384007372,5.82563930180206,0.0379035442678495,-0.00701562607623228,0.0222298831091361,0.0939134313614727
"7","SR1","SR5",2,"N",2.52082384007372,6.01124554282112,0.0379035442678495,0.0687347954571223,-0.00695898811061658,0.104907211426935
"9","SR1","SR4",3,"N",3.55873072987104,11.4206911109624,0.0978752617877796,0.0718598152312754,0.083146078782599,0.115620570726531
"10","SR2","SR4",3,"N",3.34015554106893,11.4206911109624,0.0247070101375809,0.0718598152312754,0.0231729358034507,0.0404944906830978
"11","SR1","SR5",3,"N",3.55873072987104,7.08253726574762,0.0978752617877796,0.085834249637804,0.0851533352584504,0.0552419236145053
"12","SR2","SR5",3,"N",3.34015554106893,7.08253726574762,0.0247070101375809,0.085834249637804,0.00950530784991178,0.0348065248384305
"13","SR1","SR4",4,"N",2.12521368183596,3.99148554310688,0.022313845128199,0.0562423115295772,0.0487135932436515,0.0123471299633739
"14","SR2","SR4",4,"N",2.0076281730897,3.99148554310688,0.0135281104058842,0.0562423115295772,0.00544317356948537,0.0219190354349237
"15","SR1","SR5",4,"N",2.12521368183596,5.69210141390214,0.022313845128199,0.054489684572611,0.064360343393732,0.0769067276887145
"16","SR2","SR5",4,"N",2.0076281730897,5.69210141390214,0.0135281104058842,0.054489684572611,0.00341578795882884,0.0718456591884079
"17","SR1","SR4",5,"N",2.91880764642885,5.69837985118743,-0.0102695647418357,0.0508258071719209,0.0357905274084128,0.0946598287449178
"18","SR2","SR4",5,"N",2.47331602332322,5.69837985118743,0.0322802211100163,0.0508258071719209,0.0738159391922185,0.109462781074981
"19","SR1","SR5",5,"N",2.91880764642885,6.70954068167828,-0.0102695647418357,0.0681006972689188,0.0076095776456116,0.161846482392402
"20","SR2","SR5",5,"N",2.47331602332322,6.70954068167828,0.0322802211100163,0.0681006972689188,-0.0436345200065188,0.132771500514223
