"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",3.24778357015367,8.726968065446,0.0878676098342448,0.123102504348967,0.101103124955164,0.212034656354846
"2","SR2","SR4",1,"N",2.74577162447211,8.726968065446,0.0389969238210282,0.123102504348967,0.0722227762725423,0.155747002371274
"3","SR1","SR5",1,"N",3.24778357015367,7.3355369761696,0.0878676098342448,0.09801691971816,0.0962054285638956,0.145248084869559
"4","SR2","SR5",1,"N",2.74577162447211,7.3355369761696,0.0389969238210282,0.09801691971816,0.092644339565524,0.150049411317517
"5","SR1","SR4",2,"N",3.15961356132172,9.66931689766584,0.0813498395586678,0.077286431679293,0.0766556659045856,0.164838465036968
"7","SR1","SR5",2,"N",3.15961356132172,8.6578809403768,0.0813498395586678,0.125239663099287,0.0538696680313603,0.170037720470647
"9","SR1","SR4",3,"N",4.41736721485703,17.2420721851211,0.130194203087102,0.159388671034615,0.138052738449442,0.223228672850875
"10","SR2","SR4",3,"N",4.29278356280864,17.2420721851211,0.0750451087203682,0.159388671034615,0.0893463922453784,0.161703723410955
"11","SR1","SR5",3,"N",4.41736721485703,14.4130416279135,0.130194203087102,0.189033693562487,0.127904615855824,0.225580986957992
"12","SR2","SR5",3,"N",4.29278356280864,14.4130416279135,0.0750451087203682,0.189033693562487,0.0758647481886367,0.167231021741129
"13","SR1","SR4",4,"N",2.63407526856742,7.78616749658484,0.0567610538835037,0.116197524803773,0.098291488881901,0.150229607608179
"14","SR2","SR4",4,"N",2.50343211232631,7.78616749658484,0.0544866576962222,0.116197524803773,0.0661427649653793,0.119509358452882
"15","SR1","SR5",4,"N",2.63407526856742,7.88927708086212,0.0567610538835037,0.127055520324551,0.0993615074592397,0.16333071543698
"16","SR2","SR5",4,"N",2.50343211232631,7.88927708086212,0.0544866576962222,0.127055520324551,0.0615649457549778,0.147523896431182
"17","SR1","SR4",5,"N",3.85388819723374,7.85345493823715,0.044685226372774,0.117680106870845,0.0988739798489394,0.173208063172212
"18","SR2","SR4",5,"N",3.06667697181052,7.85345493823715,0.0691223152383374,0.117680106870845,0.110364192493008,0.180115734983769
"19","SR1","SR5",5,"N",3.85388819723374,9.12879901529312,0.044685226372774,0.144251213948788,0.062860973856867,0.239603911402204
"20","SR2","SR5",5,"N",3.06667697181052,9.12879901529312,0.0691223152383374,0.144251213948788,0.000385367131052236,0.206001253336654
"110","SR1","SR4",1,"Cd",1.40567685495799,2.76001216480109,0.0264533128577007,0.0693425848016284,0.0422421365975197,0.0601065452322157
"21","SR2","SR4",1,"Cd",1.66296429610075,2.76001216480109,0.0487882173653468,0.0693425848016284,0.0414288438738203,0.0784247877519646
"31","SR1","SR5",1,"Cd",1.40567685495799,3.29049440459289,0.0264533128577007,0.0892959953970917,0.0355901993543758,0.084517071525745
"41","SR2","SR5",1,"Cd",1.66296429610075,3.29049440459289,0.0487882173653468,0.0892959953970917,0.0472429750254519,0.0721314507859835
"51","SR1","SR4",2,"Cd",1.15621014991071,1.44997093975341,0.010615535039714,-0.000235685528495632,0.0129948338516289,-0.0185425345274757
"71","SR1","SR5",2,"Cd",1.15621014991071,2.31170460367068,0.010615535039714,0.062679542874728,0.00989763128672325,0.0922031625764905
"91","SR1","SR4",3,"Cd",1.1813297995083,2.45725205937265,0.00948131463412588,0.0429494987429186,0.00547860882205491,0.0968846281905305
"101","SR2","SR4",3,"Cd",1.47314270774683,2.45725205937265,0.0213875235849318,0.0429494987429186,0.0372753536172259,0.0147937497907938
"111","SR1","SR5",3,"Cd",1.1813297995083,2.13428577870321,0.00948131463412588,0.0433733950505282,0.00329157195248393,0.0791701792042131
"121","SR2","SR5",3,"Cd",1.47314270774683,2.13428577870321,0.0213875235849318,0.0433733950505282,0.0322800210459126,0.0279690730864491
"131","SR1","SR4",4,"Cd",1.3193407932565,2.07076566067403,0.0175968863248763,0.0256825617725226,0.0250747840332389,-0.00797976050695433
"141","SR2","SR4",4,"Cd",1.29383411375335,2.07076566067403,0.0114951848080228,0.0256825617725226,0.00992367660952543,0.054144563869165
"151","SR1","SR5",4,"Cd",1.3193407932565,2.78371829342321,0.0175968863248763,0.0678804888979615,0.034150126352839,0.0974147817557102
"161","SR2","SR5",4,"Cd",1.29383411375335,2.78371829342321,0.0114951848080228,0.0678804888979615,0.00451091597686388,0.0383915573972583
"171","SR1","SR4",5,"Cd",1.45443143153463,2.08676732699025,0.0267688100434371,0.0523760833436188,0.0457813587649122,0.029528614747102
"181","SR2","SR4",5,"Cd",1.73357118867883,2.08676732699025,0.0185768283557228,0.0523760833436188,0.0588201136420105,0.0478099307851339
"191","SR1","SR5",5,"Cd",1.45443143153463,2.79838486384238,0.0267688100434371,0.0660941493522197,-0.00710761518338393,0.0506044379208662
"201","SR2","SR5",5,"Cd",1.73357118867883,2.79838486384238,0.0185768283557228,0.0660941493522197,0.0461339179337161,0.0384653581225303
