"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"Cd",1.40567685495799,2.76001216480109,0.0264533128577007,0.0693425848016284,0.0422421365975197,0.0601065452322157
"2","SR2","SR4",1,"Cd",1.66296429610075,2.76001216480109,0.0487882173653468,0.0693425848016284,0.0414288438738203,0.0784247877519646
"3","SR1","SR5",1,"Cd",1.40567685495799,3.29049440459289,0.0264533128577007,0.0892959953970917,0.0355901993543758,0.084517071525745
"4","SR2","SR5",1,"Cd",1.66296429610075,3.29049440459289,0.0487882173653468,0.0892959953970917,0.0472429750254519,0.0721314507859835
"5","SR1","SR4",2,"Cd",1.15621014991071,1.44997093975341,0.010615535039714,-0.000235685528495632,0.0129948338516289,-0.0185425345274757
"7","SR1","SR5",2,"Cd",1.15621014991071,2.31170460367068,0.010615535039714,0.062679542874728,0.00989763128672325,0.0922031625764905
"9","SR1","SR4",3,"Cd",1.1813297995083,2.45725205937265,0.00948131463412588,0.0429494987429186,0.00547860882205491,0.0968846281905305
"10","SR2","SR4",3,"Cd",1.47314270774683,2.45725205937265,0.0213875235849318,0.0429494987429186,0.0372753536172259,0.0147937497907938
"11","SR1","SR5",3,"Cd",1.1813297995083,2.13428577870321,0.00948131463412588,0.0433733950505282,0.00329157195248393,0.0791701792042131
"12","SR2","SR5",3,"Cd",1.47314270774683,2.13428577870321,0.0213875235849318,0.0433733950505282,0.0322800210459126,0.0279690730864491
"13","SR1","SR4",4,"Cd",1.3193407932565,2.07076566067403,0.0175968863248763,0.0256825617725226,0.0250747840332389,-0.00797976050695433
"14","SR2","SR4",4,"Cd",1.29383411375335,2.07076566067403,0.0114951848080228,0.0256825617725226,0.00992367660952543,0.054144563869165
"15","SR1","SR5",4,"Cd",1.3193407932565,2.78371829342321,0.0175968863248763,0.0678804888979615,0.034150126352839,0.0974147817557102
"16","SR2","SR5",4,"Cd",1.29383411375335,2.78371829342321,0.0114951848080228,0.0678804888979615,0.00451091597686388,0.0383915573972583
"17","SR1","SR4",5,"Cd",1.45443143153463,2.08676732699025,0.0267688100434371,0.0523760833436188,0.0457813587649122,0.029528614747102
"18","SR2","SR4",5,"Cd",1.73357118867883,2.08676732699025,0.0185768283557228,0.0523760833436188,0.0588201136420105,0.0478099307851339
"19","SR1","SR5",5,"Cd",1.45443143153463,2.79838486384238,0.0267688100434371,0.0660941493522197,-0.00710761518338393,0.0506044379208662
"20","SR2","SR5",5,"Cd",1.73357118867883,2.79838486384238,0.0185768283557228,0.0660941493522197,0.0461339179337161,0.0384653581225303
