"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",3.24778357015367,8.726968065446,0.0878676098342448,0.123102504348967,0.101103124955164,0.212034656354846
"2","SR2","SR4",1,"N",2.74577162447211,8.726968065446,0.0389969238210282,0.123102504348967,0.0722227762725423,0.155747002371274
"3","SR1","SR5",1,"N",3.24778357015367,7.3355369761696,0.0878676098342448,0.09801691971816,0.0962054285638956,0.145248084869559
"4","SR2","SR5",1,"N",2.74577162447211,7.3355369761696,0.0389969238210282,0.09801691971816,0.092644339565524,0.150049411317517
"5","SR1","SR4",2,"N",3.15961356132172,9.66931689766584,0.0813498395586678,0.077286431679293,0.0766556659045856,0.164838465036968
"7","SR1","SR5",2,"N",3.15961356132172,8.6578809403768,0.0813498395586678,0.125239663099287,0.0538696680313603,0.170037720470647
"9","SR1","SR4",3,"N",4.41736721485703,17.2420721851211,0.130194203087102,0.159388671034615,0.138052738449442,0.223228672850875
"10","SR2","SR4",3,"N",4.29278356280864,17.2420721851211,0.0750451087203682,0.159388671034615,0.0893463922453784,0.161703723410955
"11","SR1","SR5",3,"N",4.41736721485703,14.4130416279135,0.130194203087102,0.189033693562487,0.127904615855824,0.225580986957992
"12","SR2","SR5",3,"N",4.29278356280864,14.4130416279135,0.0750451087203682,0.189033693562487,0.0758647481886367,0.167231021741129
"13","SR1","SR4",4,"N",2.63407526856742,7.78616749658484,0.0567610538835037,0.116197524803773,0.098291488881901,0.150229607608179
"14","SR2","SR4",4,"N",2.50343211232631,7.78616749658484,0.0544866576962222,0.116197524803773,0.0661427649653793,0.119509358452882
"15","SR1","SR5",4,"N",2.63407526856742,7.88927708086212,0.0567610538835037,0.127055520324551,0.0993615074592397,0.16333071543698
"16","SR2","SR5",4,"N",2.50343211232631,7.88927708086212,0.0544866576962222,0.127055520324551,0.0615649457549778,0.147523896431182
"17","SR1","SR4",5,"N",3.85388819723374,7.85345493823715,0.044685226372774,0.117680106870845,0.0988739798489394,0.173208063172212
"18","SR2","SR4",5,"N",3.06667697181052,7.85345493823715,0.0691223152383374,0.117680106870845,0.110364192493008,0.180115734983769
"19","SR1","SR5",5,"N",3.85388819723374,9.12879901529312,0.044685226372774,0.144251213948788,0.062860973856867,0.239603911402204
"20","SR2","SR5",5,"N",3.06667697181052,9.12879901529312,0.0691223152383374,0.144251213948788,0.000385367131052236,0.206001253336654
