"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.56340250425943,6.2846200087282,0.0505946218884007,0.0525529692443269,0.0341712916560751,0.12927867827717
"2","SR2","SR4",1,"N",2.21049938198413,6.2846200087282,0.00299647209107027,0.0525529692443269,0.0243705846968394,0.0821266253590394
"3","SR1","SR5",1,"N",2.56340250425943,5.73119115695815,0.0505946218884007,0.0502513143243212,0.0493863989869234,0.0621238912657088
"4","SR2","SR5",1,"N",2.21049938198413,5.73119115695815,0.00299647209107027,0.0502513143243212,0.0422134842503128,0.107046451298866
"5","SR1","SR4",2,"N",2.53056265688384,5.8389638033971,0.0393378410444879,-0.00673376867155664,0.0227980130224919,0.0942264351096254
"7","SR1","SR5",2,"N",2.53056265688384,6.0031282677518,0.0393378410444879,0.0684565737239632,-0.0067837281685271,0.104334023102745
"9","SR1","SR4",3,"N",3.57224074635829,11.6803236928111,0.0990771374825971,0.0766423746121371,0.0843413245682079,0.120106334974379
"10","SR2","SR4",3,"N",3.35528073932808,11.6803236928111,0.025837738326192,0.0766423746121371,0.0236880946819723,0.0487247829307474
"11","SR1","SR5",3,"N",3.57224074635829,6.85348140626254,0.0990771374825971,0.091497835729325,0.0859987755110783,0.0407670055923178
"12","SR2","SR5",3,"N",3.35528073932808,6.85348140626254,0.025837738326192,0.091497835729325,0.0100863999865592,0.0338288495049522
"13","SR1","SR4",4,"N",2.12943136143412,5.82184951111805,0.0229775158706378,0.0612677895084022,0.0491142541743536,0.070019811914206
"14","SR2","SR4",4,"N",2.01122054134034,5.82184951111805,0.0150425030274392,0.0612677895084022,0.00611598008558143,0.0402544722376679
"15","SR1","SR5",4,"N",2.12943136143412,5.8794776725954,0.0229775158706378,0.0618542483558483,0.0645359309196309,0.0864636981821578
"16","SR2","SR5",4,"N",2.01122054134034,5.8794776725954,0.0150425030274392,0.0618542483558483,0.00421255449568934,0.0787493698758779
"17","SR1","SR4",5,"N",2.91475171091312,5.91942364586743,-0.00874054485845344,0.059084112591019,0.0351837582293605,0.102066622446553
"18","SR2","SR4",5,"N",2.49642946779776,5.91942364586743,0.0328079606225947,0.059084112591019,0.0750813770851255,0.118249528940788
"19","SR1","SR5",5,"N",2.91475171091312,6.98619495047058,-0.00874054485845344,0.0800755793763266,0.00720793165634864,0.171671010212035
"20","SR2","SR5",5,"N",2.49642946779776,6.98619495047058,0.0328079606225947,0.0800755793763266,-0.043447010459471,0.140528198471011
"110","SR1","SR4",1,"Cd",1.22274386934802,2.18525758268353,-9.82280104409004e-06,0.0309067848211485,0.0229615118876216,-0.0180710274915485
"21","SR2","SR4",1,"Cd",1.38332322372141,2.18525758268353,0.024556411010733,0.0309067848211485,0.000464369864282516,0.00978717565086611
"31","SR1","SR5",1,"Cd",1.22274386934802,2.56708016090913,-9.82280104409004e-06,0.0448575886124667,0.0107975794930856,0.0350524741199149
"41","SR2","SR5",1,"Cd",1.38332322372141,2.56708016090913,0.024556411010733,0.0448575886124667,0.00897192096099286,0.0081542124267776
"51","SR1","SR4",2,"Cd",1.05225800617895,1.18973086703652,-0.00830557573292718,-0.029200581074484,-0.0192555476168538,-0.0704279476391083
"71","SR1","SR5",2,"Cd",1.05225800617895,1.6478070407819,-0.00830557573292718,0.0155244981059725,-0.00934601238325337,0.0569447193664263
"91","SR1","SR4",3,"Cd",1.07244596784998,1.96046853388046,-0.00334414916540384,-0.000740387156117323,-0.0254526512666985,0.0400111252467535
"101","SR2","SR4",3,"Cd",1.26103023021106,1.96046853388046,-0.00141774344466701,-0.000740387156117323,0.00275917885978158,-0.0404101268900789
"111","SR1","SR5",3,"Cd",1.07244596784998,1.72180164042672,-0.00334414916540384,0.0112472718990606,-0.0232257182055758,0.0295238205720944
"121","SR2","SR5",3,"Cd",1.26103023021106,1.72180164042672,-0.00141774344466701,0.0112472718990606,0.00316608298779963,-0.019154795050185
"131","SR1","SR4",4,"Cd",1.16824379764301,1.69791768713082,-0.00456779715819326,-0.0122628106881415,-0.0025483418963865,-0.058900731503189
"141","SR2","SR4",4,"Cd",1.14261732491278,1.69791768713082,-0.0089774198361487,-0.0122628106881415,-0.017632787448224,0.0118890969643927
"151","SR1","SR5",4,"Cd",1.16824379764301,2.26198936136721,-0.00456779715819326,0.0239621855201147,0.00453614739612129,0.0485248632084582
"161","SR2","SR5",4,"Cd",1.14261732491278,2.26198936136721,-0.0089774198361487,0.0239621855201147,-0.0457376366737832,-0.0148322638598476
"171","SR1","SR4",5,"Cd",1.24282854354115,1.71412862415004,0.00186484713711997,0.016330331882975,0.0182495815215778,-0.0182955493401952
"181","SR2","SR4",5,"Cd",1.49874295589627,1.71412862415004,-0.0124688618504347,0.016330331882975,0.0127910168550939,-0.0112908185856253
"191","SR1","SR5",5,"Cd",1.24282854354115,2.24338948409416,0.00186484713711997,0.0293139054960169,-0.049584960761794,-0.0102384730376728
"201","SR2","SR5",5,"Cd",1.49874295589627,2.24338948409416,-0.0124688618504347,0.0293139054960169,-0.00182100237837652,-0.020955076797234
