"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",2.90650616338266,7.51885167046333,0.0693146242205671,0.0881714176599858,0.0676343513777235,0.170312097696173
"2","SR2","SR4",1,"N",2.47390245018289,7.51885167046333,0.0206641089260091,0.0881714176599858,0.0481391069873673,0.120140186895859
"3","SR1","SR5",1,"N",2.90650616338266,6.85003137287897,0.0693146242205671,0.0814791796952877,0.0727268646988663,0.105394756237048
"4","SR2","SR5",1,"N",2.47390245018289,6.85003137287897,0.0206641089260091,0.0814791796952877,0.0672743950822964,0.153149733187676
"5","SR1","SR4",2,"N",2.84539911606419,7.74726292632728,0.0605193373562654,0.0351069000968981,0.0498209025460194,0.129470319128762
"7","SR1","SR5",2,"N",2.84539911606419,7.32770866929863,0.0605193373562654,0.09667963405735,0.0235591871128147,0.137091350247538
"9","SR1","SR4",3,"N",3.9943408264178,13.8464137264515,0.114501196617207,0.109320647021602,0.111209749404217,0.163937460868145
"10","SR2","SR4",3,"N",3.81729022209341,13.8464137264515,0.0500697127693986,0.109320647021602,0.0562057739283857,0.0963469188560028
"11","SR1","SR5",3,"N",3.9943408264178,8.12652836799599,0.114501196617207,0.126163692387968,0.10640758053798,0.0829147161269753
"12","SR2","SR5",3,"N",3.81729022209341,8.12652836799599,0.0500697127693986,0.126163692387968,0.0424734109736096,0.0769482160913019
"13","SR1","SR4",4,"N",2.37966893153329,6.8600338210542,0.039503090681441,0.0917612744711665,0.0733353025608286,0.110195472124407
"14","SR2","SR4",4,"N",2.25695228024474,6.8600338210542,0.0350785605624879,0.0917612744711665,0.0363026882381824,0.0807640851307543
"15","SR1","SR5",4,"N",2.37966893153329,6.88641235909188,0.039503090681441,0.0945261976789098,0.081642282083533,0.124648352688379
"16","SR2","SR5",4,"N",2.25695228024474,6.88641235909188,0.0350785605624879,0.0945261976789098,0.0329494149241997,0.113205675868764
"17","SR1","SR4",5,"N",3.32888321569602,6.86286878709732,0.0164813726288893,0.0883705788533735,0.0654851680671675,0.13720801321551
"18","SR2","SR4",5,"N",2.77931737441371,6.86286878709732,0.0507059160572498,0.0883705788533735,0.0924863932338583,0.149079712926486
"19","SR1","SR5",5,"N",3.32888321569602,8.00911342507472,0.0164813726288893,0.111006474134424,0.0333219781041555,0.204731534442841
"20","SR2","SR5",5,"N",2.77931737441371,8.00911342507472,0.0507059160572498,0.111006474134424,-0.0217256121344222,0.172661216023985
"110","SR1","SR4",1,"Cd",1.31518265081449,2.47317167599079,0.0132871308254671,0.050403537627921,0.0325921031535936,0.020671624988178
"21","SR2","SR4",1,"Cd",1.52145358437981,2.47317167599079,0.0367339964658026,0.050403537627921,0.0210572865879346,0.0447283706942267
"31","SR1","SR5",1,"Cd",1.31518265081449,2.93591330366473,0.0132871308254671,0.0673948670165974,0.0233894305618443,0.0596182412675514
"41","SR2","SR5",1,"Cd",1.52145358437981,2.93591330366473,0.0367339964658026,0.0673948670165974,0.0279069358132433,0.040027160058995
"51","SR1","SR4",2,"Cd",1.10413475673831,1.31934404695239,0.00120271522234407,-0.0147434423645538,-0.00299215114329042,-0.0449321385914663
"71","SR1","SR5",2,"Cd",1.10413475673831,1.98309324660773,0.00120271522234407,0.0393021838164913,0.000198136514491834,0.0747095646770142
"91","SR1","SR4",3,"Cd",1.12624682096635,2.21070419245509,0.00295382278770183,0.021424652350659,-0.0099221812586581,0.0688588750664888
"101","SR2","SR4",3,"Cd",1.36673997869509,2.21070419245509,0.00995252780875577,0.021424652350659,0.020121135954991,-0.012717305888871
"111","SR1","SR5",3,"Cd",1.12624682096635,1.92773610457787,0.00295382278770183,0.0268564344133842,-0.0102405669027107,0.0544451575895292
"121","SR2","SR5",3,"Cd",1.36673997869509,1.92773610457787,0.00995252780875577,0.0268564344133842,0.0177303115270829,0.00424536405886675
"131","SR1","SR4",4,"Cd",1.24310268256993,1.88900539563734,0.00644464899941042,0.00708755196255896,0.0117490604592687,-0.0334639131888978
"141","SR2","SR4",4,"Cd",1.21823073199908,1.88900539563734,0.00105692146478939,0.00708755196255896,-0.00403199576250523,0.0330939565104945
"151","SR1","SR5",4,"Cd",1.24310268256993,2.52603613884729,0.00644464899941042,0.0458339790759804,0.0191527827458559,0.0735793734821602
"161","SR2","SR5",4,"Cd",1.21823073199908,2.52603613884729,0.00105692146478939,0.0458339790759804,-0.0207897483039803,0.0116722467630983
"171","SR1","SR4",5,"Cd",1.34748814016202,1.90352498412508,0.0142430527879406,0.0344643934850396,0.0319788629594833,0.00561220022737265
"181","SR2","SR4",5,"Cd",1.61608260185857,1.90352498412508,0.00294009440998762,0.0344643934850396,0.0362017025916167,0.0186517184006302
"191","SR1","SR5",5,"Cd",1.34748814016202,2.52475922688618,0.0142430527879406,0.0478538897067063,-0.0286003660024927,0.0205593768833893
"201","SR2","SR5",5,"Cd",1.61608260185857,2.52475922688618,0.00294009440998762,0.0478538897067063,0.0223605789019327,0.0085017720387702
