"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_lambda","Te_lambda","Tu_intra","Te_intra","Tu_inter","Te_inter"
"1","SR1","SR4",1,"N",3.24960982250588,8.75308333219846,0.0880346265527335,0.123789866075645,0.101097411099372,0.211345517115175
"2","SR2","SR4",1,"N",2.73730551838165,8.75308333219846,0.0383317457609479,0.123789866075645,0.0719076292778951,0.158153748432679
"3","SR1","SR5",1,"N",3.24960982250588,7.9688715887998,0.0880346265527335,0.112707045066254,0.0960673304108091,0.148665621208387
"4","SR2","SR5",1,"N",2.73730551838165,7.9688715887998,0.0383317457609479,0.112707045066254,0.0923353059142799,0.199253015076486
"5","SR1","SR4",2,"N",3.16023557524453,9.65556204925747,0.0817008336680429,0.0769475688653529,0.076843792069547,0.164714203147899
"7","SR1","SR5",2,"N",3.16023557524453,8.65228907084546,0.0817008336680429,0.124902694390737,0.0539021023941565,0.169848677392331
"9","SR1","SR4",3,"N",4.41644090647731,16.0125037600919,0.129925255751818,0.141998919431066,0.138078174240225,0.207768586761912
"10","SR2","SR4",3,"N",4.27929970485873,16.0125037600919,0.0743016872126051,0.141998919431066,0.0887234531747991,0.143969054781258
"11","SR1","SR5",3,"N",4.41644090647731,9.39957532972943,0.129925255751818,0.160829549046612,0.126816385564881,0.125062426661633
"12","SR2","SR5",3,"N",4.27929970485873,9.39957532972943,0.0743016872126051,0.160829549046612,0.07486042196066,0.120067582677652
"13","SR1","SR4",4,"N",2.62990650163247,7.89821813099034,0.0560286654922441,0.122254759433931,0.0975563509473036,0.150371132334608
"14","SR2","SR4",4,"N",2.50268401914914,7.89821813099034,0.0551146180975366,0.122254759433931,0.0664893963907835,0.121273698023841
"15","SR1","SR5",4,"N",2.62990650163247,7.89334704558836,0.0560286654922441,0.127198147001971,0.0987486332474352,0.162833007194601
"16","SR2","SR5",4,"N",2.50268401914914,7.89334704558836,0.0551146180975366,0.127198147001971,0.06168627535271,0.14766198186165
"17","SR1","SR4",5,"N",3.74301472047893,7.80631392832721,0.041703290116232,0.117657045115728,0.0957865779049746,0.172349403984466
"18","SR2","SR4",5,"N",3.06220528102967,7.80631392832721,0.0686038714919048,0.117657045115728,0.109891409382591,0.179909896912183
"19","SR1","SR5",5,"N",3.74301472047893,9.03203189967887,0.041703290116232,0.141937368892522,0.0594360245519623,0.237792058673646
"20","SR2","SR5",5,"N",3.06220528102967,9.03203189967887,0.0686038714919048,0.141937368892522,-4.2138093733872e-06,0.20479423357696
"110","SR1","SR4",1,"Cd",1.40762143228097,2.76108576929804,0.0265840844519783,0.0699002904346934,0.0422226944195656,0.0594142774679044
"21","SR2","SR4",1,"Cd",1.65958394503822,2.76108576929804,0.0489115819208721,0.0699002904346934,0.0416502033115867,0.0796695657375873
"31","SR1","SR5",1,"Cd",1.40762143228097,3.30474644642033,0.0265840844519783,0.089932145420728,0.035981281630603,0.0841840084151879
"41","SR2","SR5",1,"Cd",1.65958394503822,3.30474644642033,0.0489115819208721,0.089932145420728,0.0468419506654937,0.0719001076912123
"51","SR1","SR4",2,"Cd",1.15601150729766,1.44895722686826,0.0107110061776153,-0.000286303654623635,0.013271245330273,-0.0194363295438244
"71","SR1","SR5",2,"Cd",1.15601150729766,2.31837945243356,0.0107110061776153,0.06307986952701,0.00974228541223704,0.0924744099876021
"91","SR1","SR4",3,"Cd",1.18004767408271,2.46093985102971,0.0092517947408075,0.0435896918574353,0.00560828874938234,0.0977066248862241
"101","SR2","SR4",3,"Cd",1.47244972717913,2.46093985102971,0.0213227990621785,0.0435896918574353,0.0374830930502005,0.0149755151123368
"111","SR1","SR5",3,"Cd",1.18004767408271,2.13367056872902,0.0092517947408075,0.0424655969277078,0.00274458440015449,0.0793664946069639
"121","SR2","SR5",3,"Cd",1.47244972717913,2.13367056872902,0.0213227990621785,0.0424655969277078,0.0322945400663662,0.0276455231679185
"131","SR1","SR4",4,"Cd",1.31796156749686,2.08009310414386,0.0174570951570141,0.0264379146132594,0.0260464628149239,-0.0080270948746066
"141","SR2","SR4",4,"Cd",1.29384413908537,2.08009310414386,0.0110912627657275,0.0264379146132594,0.00956879592321356,0.0542988160565963
"151","SR1","SR5",4,"Cd",1.31796156749686,2.79008291632736,0.0174570951570141,0.067705772631846,0.0337694180955905,0.0986338837558622
"161","SR2","SR5",4,"Cd",1.29384413908537,2.79008291632736,0.0110912627657275,0.067705772631846,0.0041581400658227,0.0381767573860443
"171","SR1","SR4",5,"Cd",1.4521477367829,2.09292134410011,0.0266212584387613,0.0525984550871041,0.0457081443973887,0.0295199497949405
"181","SR2","SR4",5,"Cd",1.73342224782086,2.09292134410011,0.0183490506704099,0.0525984550871041,0.0596123883281395,0.0485942553868857
"191","SR1","SR5",5,"Cd",1.4521477367829,2.80612896967819,0.0266212584387613,0.0663938739173957,-0.00761577124319144,0.0513572268044515
"201","SR2","SR5",5,"Cd",1.73342224782086,2.80612896967819,0.0183490506704099,0.0663938739173957,0.0465421601822419,0.0379586208747744
