"","Tu_Regime","Te_Regime","Replicate","Environment","Tu_distance_lower","Tu_distance","Tu_distance_upper","Te_distance_lower","Te_distance","Te_distance_upper","minDistance_L","minDistance","minDistance_U"
"V1","SR1","SR4",1,"N",0.151473963447538,0.172191573869478,0.18259977703924,0.849537393667096,1.22859404281942,1.7130927158814,0.151473963447538,0.172191573869478,0.18259977703924
"V2","SR2","SR4",1,"N",0.258102429479846,0.314038836963065,0.475141496146005,0.710493464884335,1.00479937735542,1.48688477368641,0.258102429479846,0.314038836963065,0.475141496146005
"V3","SR1","SR5",1,"N",-0.286582927533904,-0.177698897296095,-0.131065831113226,-0.429211100852267,-0.336198208138006,-0.296389669297514,-0.286582927533904,-0.177698897296095,-0.131065831113226
"V4","SR2","SR5",1,"N",0.153037005082676,0.207154149800229,0.316348995346475,0.327351125865873,0.354500519980818,0.420855797420779,0.153037005082676,0.207154149800229,0.316348995346475
"V5","SR1","SR4",2,"N",-0.113028810794426,-0.0841350971690089,0.0316434907688861,-0.606383688888068,-0.435022547860791,1.61705811232991,-0.113028810794426,-0.0841350971690089,0.0316434907688861
"V6","SR1","SR5",2,"N",-0.0812967493994684,-0.0227316874437618,0.0427404565825548,-0.47034265553343,-0.0404359678618239,0.129547337529999,-0.0812967493994684,-0.0227316874437618,0.0427404565825548
"V7","SR1","SR4",3,"N",-0.422981978734772,-0.327172044739224,-0.269561486138735,-0.578592753707806,-0.509411792555334,-0.472151192440872,-0.422981978734772,-0.327172044739224,-0.269561486138735
"V8","SR2","SR4",3,"N",-0.279809292554438,-0.207680059954599,-0.187826813070232,-0.275752428422396,-0.20579583146467,-0.0439183198800195,-0.275752428422396,-0.20579583146467,-0.0439183198800195
"V9","SR1","SR5",3,"N",-0.619316123008912,-0.403318411941306,-0.282131205911117,-0.34377607198751,-0.272173584196014,-0.230256207916613,-0.34377607198751,-0.272173584196014,-0.230256207916613
"V10","SR2","SR5",3,"N",-0.119545257822065,0.136786123971265,0.19632487653878,-0.0171056248812492,0.0891318672682492,0.310682723960065,-0.0171056248812492,0.0891318672682492,0.310682723960065
"V11","SR1","SR4",4,"N",-0.639234504014516,-0.178723260660427,-0.0808535307192957,-0.287630235682553,-0.234249256121197,-0.21012293236339,-0.639234504014516,-0.178723260660427,-0.0808535307192957
"V12","SR2","SR4",4,"N",-0.0476038260190273,0.0643957469904505,0.14624472478316,-0.059563288247706,0.0417610442986217,0.31023513519619,-0.059563288247706,0.0417610442986217,0.31023513519619
"V13","SR1","SR5",4,"N",-0.0155176505863531,0.0263765676951929,0.0508263299299924,-0.307364282663147,0.383951249820781,0.535044968348182,-0.0155176505863531,0.0263765676951929,0.0508263299299924
"V14","SR2","SR5",4,"N",-0.131185374648856,-0.0273846906221012,0.0216844089779526,-0.254695345871267,-0.118271713172196,0.0179065408396489,-0.131185374648856,-0.0273846906221012,0.0216844089779526
"V15","SR1","SR4",5,"N",0.222543094933723,0.338463293113246,2.57852120492135,0.158521016986764,0.200088266980691,0.216436263402595,0.158521016986764,0.200088266980691,0.216436263402595
"V16","SR2","SR4",5,"N",0.0340485064120456,0.0572842226840765,0.0983080911421647,0.345610618414725,0.428548774336011,0.582721305701574,0.0340485064120456,0.0572842226840765,0.0983080911421647
"V17","SR1","SR5",5,"N",-2.682510208337,-0.317693320154319,-0.226397760165293,-0.284436412121345,-0.0915455088225886,-0.0120092181636318,-0.284436412121345,-0.0915455088225886,-0.0120092181636318
"V18","SR2","SR5",5,"N",-0.094683286966202,-0.0481477612131256,-0.0198623767106873,-0.903016682699976,-0.521221276543956,-0.323377739536586,-0.094683286966202,-0.0481477612131256,-0.0198623767106873
"V19","SR1","SR4",1,"Cd",-2.639433631691,-0.0839323329108115,0.0747857219216576,-0.148758303593125,-0.0875640918895646,0.0585834641865375,-2.639433631691,-0.0839323329108115,0.0747857219216576
"V20","SR2","SR4",1,"Cd",0.004576437568811,0.137357972271853,0.607937136743481,0.0139817475552637,0.15430848992039,0.528296939436054,0.004576437568811,0.137357972271853,0.607937136743481
"V21","SR1","SR5",1,"Cd",-0.414324864755868,-0.201605146054579,-0.117498363212641,-0.180570217180941,-0.0881978443733016,-0.0435520524741128,-0.180570217180941,-0.0881978443733016,-0.0435520524741128
"V22","SR2","SR5",1,"Cd",-0.114284966625556,0.262190015059162,0.781378617949171,-0.00678385852703786,0.0857442182607845,0.290104866604132,-0.00678385852703786,0.0857442182607845,0.290104866604132
"V23","SR1","SR4",2,"Cd",-2.4204258586321,-1.93200985044709,-0.580962057920067,-2.25227490632972,-0.502074059052032,-0.123286566845032,-2.25227490632972,-0.502074059052032,-0.123286566845032
"V24","SR1","SR5",2,"Cd",-2.48927139667088,-0.493323089101384,-0.394522839757211,-1.05031503535748,-0.503406649146949,-0.351168734753902,-2.48927139667088,-0.493323089101384,-0.394522839757211
"V25","SR1","SR4",3,"Cd",-2.58476661591689,-0.427835090597357,-0.374010813849465,-1.07841936833824,-0.902053048029975,-0.343629022020205,-2.58476661591689,-0.427835090597357,-0.374010813849465
"V26","SR2","SR4",3,"Cd",-1.91903185546662,-0.521223286573947,-0.402822330448999,-1.94650872718481,-0.197184272822599,-0.152667537886672,-1.94650872718481,-0.197184272822599,-0.152667537886672
"V27","SR1","SR5",3,"Cd",-2.49776249798051,-0.474089015903667,-0.409895762303227,-1.68580588647739,-0.889489201231997,-0.452873388745204,-2.49776249798051,-0.474089015903667,-0.409895762303227
"V28","SR2","SR5",3,"Cd",-0.0308459961090264,0.544340593093932,0.549474138101074,-0.0165379912813726,0.0375894017135952,0.309112691981249,-0.0165379912813726,0.0375894017135952,0.309112691981249
"V29","SR1","SR4",4,"Cd",-2.37256233708871,-1.40555443317783,-0.503161511518548,-0.44196134244246,-0.438918650090233,-0.185021971815595,-0.44196134244246,-0.438918650090233,-0.185021971815595
"V30","SR2","SR4",4,"Cd",-1.91537669155373,-0.541276260660935,-0.366221329975126,-1.09340580533422,-0.422223195865422,-0.207190578540717,-1.09340580533422,-0.422223195865422,-0.207190578540717
"V31","SR1","SR5",4,"Cd",-2.59342048147981,-0.37020191933554,0.280511395113582,-0.283817490587393,-0.0649067158580646,0.00375851001623874,-0.283817490587393,-0.0649067158580646,0.00375851001623874
"V32","SR2","SR5",4,"Cd",-0.361998912969648,-0.161533487083385,-0.115467535506181,-1.53922277827557,-0.8684118118792,-0.382636644246213,-0.361998912969648,-0.161533487083385,-0.115467535506181
"V33","SR1","SR4",5,"Cd",-2.42648926838926,-0.568995635695525,-0.114945144225158,-0.225619153597043,-0.135578597209166,-0.103920618307843,-0.225619153597043,-0.135578597209166,-0.103920618307843
"V34","SR2","SR4",5,"Cd",-0.192394284504951,0.341196816560304,0.576294595501048,-0.0413980511314152,0.0984896605002393,0.135406509766655,-0.0413980511314152,0.0984896605002393,0.135406509766655
"V35","SR1","SR5",5,"Cd",-2.50222669492342,0.00799868623634735,0.169693716763352,-1.54948613789794,0.599109410155255,1.03992013379236,-2.50222669492342,0.00799868623634735,0.169693716763352
"V36","SR2","SR5",5,"Cd",-0.232904357025501,-0.0568189411697832,0.11640739203732,-0.688102465367011,-0.158399302457062,0.0250397870481798,-0.232904357025501,-0.0568189411697832,0.11640739203732
