Rep,Block1,1st_pair,2nd_pair,Env,Box,SRTu,SRTe,Leaflet,Leaf_2_Up_Tu,Leaf_2_Up_Te,Leaf_2_Down_Tu,Leaf_2_Down_Te,Leaf_3_Up_Tu,Leaf_3_Up_Te,Leaf_3_Down_Tu,Leaf_3_Down_Te,Leaf_4_Up_Tu,Leaf_4_Up_Te,Leaf_4_Down_Tu,Leaf_4_Down_Te,Leaf_5_Up_Tu,Leaf_5_Up_Te,Leaf_5_Down_Tu,Leaf_5_Down_Te,Observations
1,2,2.4,3.5,water,6,Tu1,Te5,1,0,11,1,15,2,5,2,3,4,9,6,8,3,6,3,2,NA
1,2,2.4,3.5,water,6,Tu1,Te5,2,1,4,0,2,0,6,3,8,2,28,7,36,9,6,1,10,NA
1,2,2.4,3.5,water,6,Tu1,Te5,3,2,2,0,5,1,6,0,1,NA,NA,NA,NA,1,12,1,14,NA
1,2,2.4,3.5,water,6,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,10,0,4,NA
1,2,2.4,3.5,water,6,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,4,NA
1,2,2.4,3.5,water,7,Tu1,Te5,1,1,15,1,21,1,8,3,8,1,5,0,2,2,18,0,18,leaf 3 abt dry
1,2,2.4,3.5,water,7,Tu1,Te5,2,2,3,0,30,4,14,1,6,1,1,0,0,8,15,2,9,leaf 3 abt dry
1,2,2.4,3.5,water,7,Tu1,Te5,3,0,7,1,9,NA,NA,NA,NA,2,18,7,26,13,13,1,6,leaf 3 abt dry
1,2,2.4,3.5,water,7,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,24,2,10,leaf 3 abt dry
1,2,2.4,3.5,water,7,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,21,1,26,leaf 3 abt dry
1,2,2.4,3.5,water,8,Tu1,Te5,1,14,8,8,0,1,6,4,5,7,10,8,13,5,6,1,3,leaf 2 had the 3 leaflets separated. Leaf 5 was leaf 6
1,2,2.4,3.5,water,8,Tu1,Te5,2,7,14,4,2,14,8,9,6,8,15,3,8,7,4,1,5,leaf 2 had the 3 leaflets separated. Leaf 5 was leaf 6
1,2,2.4,3.5,water,8,Tu1,Te5,3,4,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,22,8,2,9,leaf 2 had the 3 leaflets separated. Leaf 5 was leaf 6
1,2,2.4,3.5,water,8,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,5,2,leaf 2 had the 3 leaflets separated. Leaf 5 was leaf 6
1,2,2.4,3.5,water,8,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,4,5,leaf 2 had the 3 leaflets separated. Leaf 5 was leaf 6
1,2,2.4,3.5,water,9,Tu1,Te5,1,3,2,2,2,14,3,4,0,1,6,2,5,22,8,6,9,Leaf 4 dry
1,2,2.4,3.5,water,9,Tu1,Te5,2,2,10,2,10,14,8,6,2,0,4,0,4,11,8,2,17,Leaf 4 dry
1,2,2.4,3.5,water,9,Tu1,Te5,3,4,16,3,12,4,1,4,2,0,2,0,1,0,11,4,10,Leaf 4 dry
1,2,2.4,3.5,water,9,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,29,12,16,Leaf 4 dry
1,2,2.4,3.5,water,9,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,11,17,Leaf 4 dry
1,2,2.4,3.5,water,10,Tu1,Te5,1,0,0,1,0,0,2,0,1,1,2,0,7,50,71,19,55,Dry leaves (all of them). Leaf 5 with web
1,2,2.4,3.5,water,10,Tu1,Te5,2,1,1,0,0,0,0,0,0,0,1,0,0,20,13,5,5,Dry leaves (all of them). Leaf 5 with web
1,2,2.4,3.5,water,10,Tu1,Te5,3,0,0,0,1,NA,NA,NA,NA,0,0,0,0,30,9,0,4,Dry leaves (all of them). Leaf 5 with web
1,2,2.4,3.5,water,10,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,13,Dry leaves (all of them). Leaf 5 with web
1,2,2.4,3.5,water,10,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20,16,29,Dry leaves (all of them). Leaf 5 with web
1,1,3.5,2.4,water,1,Tu1,Te5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,1,Tu1,Te5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,1,Tu1,Te5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,1,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,1,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,2,Tu1,Te5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,2,Tu1,Te5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,2,Tu1,Te5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,2,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,2,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried
1,1,3.5,2.4,water,3,Tu1,Te5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried. L3 and L5 dried when L2/L4 were added
1,1,3.5,2.4,water,3,Tu1,Te5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,all leaves are dried. L3 and L5 dried when L2/L4 were added
1,1,3.5,2.4,water,3,Tu1,Te5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried. L3 and L5 dried when L2/L4 were added
1,1,3.5,2.4,water,3,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried. L3 and L5 dried when L2/L4 were added
1,1,3.5,2.4,water,3,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried. L3 and L5 dried when L2/L4 were added
1,1,3.5,2.4,water,4,Tu1,Te5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried. L3 dried when L2/L4 were added
1,1,3.5,2.4,water,4,Tu1,Te5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried. L3 dried when L2/L4 were added
1,1,3.5,2.4,water,4,Tu1,Te5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried. L3 dried when L2/L4 were added
1,1,3.5,2.4,water,4,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried. L3 dried when L2/L4 were added
1,1,3.5,2.4,water,4,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried. L3 dried when L2/L4 were added
1,1,3.5,2.4,water,5,Tu1,Te5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried.  L3 and L5 dried when L2/L4 were added. Thrips vestige
1,1,3.5,2.4,water,5,Tu1,Te5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried.  L3 and L5 dried when L2/L4 were added. Thrips vestige
1,1,3.5,2.4,water,5,Tu1,Te5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,all leaves are dried.  L3 and L5 dried when L2/L4 were added. Thrips vestige
1,1,3.5,2.4,water,5,Tu1,Te5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried.  L3 and L5 dried when L2/L4 were added. Thrips vestige
1,1,3.5,2.4,water,5,Tu1,Te5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,all leaves are dried.  L3 and L5 dried when L2/L4 were added. Thrips vestige
1,2,2.4,3.5,water,6,Tu2,Te4,1,3,0,0,0,2,5,8,8,1,1,0,0,18,10,2,15,Leaf 2 super dry and wilted. L4 dry and…
