Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,NumberOfEggs,NumberOfEggsBelow,TeMales,TeFemales,TeQuiescentfemales,TuMales,TuFemales,TuQuiescentfemales,Observations
1,1,1,3,1,N,4,NA,1,INTRA,Te,0,0,0,0,11,0,3,6,0,NA,NA,NA,NA
1,1,1,4,2,N,4,NA,1,INTRA,Te,0,0,0,0,21,0,3,9,0,NA,NA,NA,NA
1,1,1,3,3,Cd,4,NA,1,INTRA,Te,1,0,0,0,3,0,0,2,0,NA,NA,NA,NA
1,1,1,4,4,Cd,4,NA,1,INTRA,Te,0,0,0,0,9,0,3,5,0,NA,NA,NA,NA
1,1,1,3,5,N,4,NA,2,INTRA,Te,1,0,0,0,15,0,2,2,0,NA,NA,NA,NA
1,1,1,4,6,N,4,NA,2,INTRA,Te,1,0,0,0,16,0,5,10,0,NA,NA,NA,NA
1,1,1,3,7,Cd,4,NA,2,INTRA,Te,0,0,0,0,17,0,5,4,3,NA,NA,NA,NA
1,1,1,4,8,Cd,4,NA,2,INTRA,Te,0,0,0,0,11,0,3,4,0,NA,NA,NA,NA
1,1,1,3,9,N,4,NA,4,INTRA,Te,0,0,0,0,58,0,8,9,3,NA,NA,NA,NA
1,1,1,4,10,N,4,NA,4,INTRA,Te,0,0,0,0,24,0,8,6,4,NA,NA,NA,NA
1,1,1,3,11,Cd,4,NA,4,INTRA,Te,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
1,1,1,4,12,Cd,4,NA,4,INTRA,Te,0,0,0,0,10,0,0,0,0,NA,NA,NA,NA
1,1,1,3,13,N,4,NA,10,INTRA,Te,1,0,1,0,54,0,13,13,6,NA,NA,NA,NA
1,1,1,4,14,N,4,NA,10,INTRA,Te,1,0,1,0,132,0,8,48,14,NA,NA,NA,In relation with column TeQuiescentfemales: lots of males quiescent
1,1,1,3,15,Cd,4,NA,10,INTRA,Te,2,0,1,0,158,0,4,7,1,NA,NA,NA,NA
1,1,1,4,16,Cd,4,NA,10,INTRA,Te,0,0,1,0,27,0,4,3,4,NA,NA,NA,NA
1,1,2,3,1,N,4,NA,1,INTRA,Te,0,0,0,0,70,0,2,11,0,NA,NA,NA,NA
1,1,2,4,2,N,4,NA,1,INTRA,Te,0,0,0,0,18,0,7,13,2,NA,NA,NA,NA
1,1,2,3,3,Cd,4,NA,1,INTRA,Te,1,0,0,0,28,0,2,2,1,NA,NA,NA,NA
1,1,2,4,4,Cd,4,NA,1,INTRA,Te,0,0,0,0,8,0,1,1,0,NA,NA,NA,NA
1,1,2,3,5,N,4,NA,2,INTRA,Te,0,0,0,0,18,0,4,32,4,NA,NA,NA,NA
1,1,2,4,6,N,4,NA,2,INTRA,Te,0,0,0,0,52,0,10,31,0,NA,NA,NA,NA
1,1,2,3,7,Cd,4,NA,2,INTRA,Te,0,0,0,0,47,0,0,2,0,NA,NA,NA,NA
1,1,2,4,8,Cd,4,NA,2,INTRA,Te,1,0,0,0,2,0,4,5,0,NA,NA,NA,NA
1,1,2,3,9,N,4,NA,4,INTRA,Te,0,0,0,0,81,0,6,14,2,NA,NA,NA,NA
1,1,2,4,10,N,4,NA,4,INTRA,Te,0,0,0,0,66,0,11,33,1,NA,NA,NA,NA
1,1,2,3,11,Cd,4,NA,4,INTRA,Te,0,0,0,0,30,0,2,8,3,NA,NA,NA,NA
1,1,2,4,12,Cd,4,NA,4,INTRA,Te,0,0,0,0,10,7,1,3,1,NA,NA,NA,NA
1,1,2,3,13,N,4,NA,10,INTRA,Te,0,0,0,0,82,0,0,2,1,NA,NA,NA,In relation with column TeQuiescentfemales: lots of juvenils
1,1,2,4,14,N,4,NA,10,INTRA,Te,0,1,0,0,156,0,15,44,7,NA,NA,NA,NA
1,1,2,3,15,Cd,4,NA,10,INTRA,Te,1,0,0,0,16,0,0,0,0,NA,NA,NA,NA
1,1,2,4,16,Cd,4,NA,10,INTRA,Te,0,0,0,0,48,0,7,4,3,NA,NA,NA,NA
1,1,1,3,1,N,5,NA,1,INTRA,Te,0,0,0,0,14,0,0,0,0,NA,NA,NA,NA
1,1,1,4,2,N,5,NA,1,INTRA,Te,0,0,0,0,28,0,1,6,3,NA,NA,NA,1 male
1,1,1,3,3,Cd,5,NA,1,INTRA,Te,0,0,0,0,4,0,0,1,1,NA,NA,NA,NA
1,1,1,4,4,Cd,5,NA,1,INTRA,Te,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA
1,1,1,3,5,N,5,NA,2,INTRA,Te,0,0,0,0,30,0,4,5,2,NA,NA,NA,NA
1,1,1,4,6,N,5,NA,2,INTRA,Te,0,0,0,0,29,0,3,11,2,NA,NA,NA,NA
1,1,1,3,7,Cd,5,NA,2,INTRA,Te,2,0,0,0,28,0,1,3,2,NA,NA,NA,NA
1,1,1,4,8,Cd,5,NA,2,INTRA,Te,0,0,0,0,14,0,2,1,2,NA,NA,NA,NA
1,1,1,3,9,N,5,NA,4,INTRA,Te,1,0,0,0,55,0,6,29,5,NA,NA,NA,NA
1,1,1,4,10,N,5,NA,4,INTRA,Te,0,0,0,0,99,0,4,38,6,NA,NA,NA,NA
1,1,1,3,11,Cd,5,NA,4,INTRA,Te,2,0,0,0,24,0,3,6,0,NA,NA,NA,NA
1,1,1,4,12,Cd,5,NA,4,INTRA,Te,0,1,0,0,27,0,3,2,2,NA,NA,NA,NA
1,1,1,3,13,N,5,NA,10,INTRA,Te,0,0,1,0,33,0,0,15,4,NA,NA,NA,NA
1,1,1,4,14,N,5,NA,10,INTRA,Te,1,3,0,0,158,2,7,35,6,NA,NA,NA,NA
1,1,1,3,15,Cd,5,NA,10,INTRA,Te,4,0,0,0,11,0,0,1,2,NA,NA,NA,NA
1,1,1,4,16,Cd,5,NA,10,INTRA,Te,0,0,0,0,55,0,0,8,2,NA,NA,NA,NA
1,1,2,3,1,N,5,NA,1,INTRA,Te,0,0,0,0,5,3,1,8,0,NA,NA,NA,NA
1,1,2,4,2,N,5,NA,1,INTRA,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 females!
1,1,2,3,3,Cd,5,NA,1,INTRA,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,female went to disk 3
1,1,2,4,4,Cd,5,NA,1,INTRA,Te,0,0,0,0,25,0,2,17,1,NA,NA,NA,NA
1,1,2,3,5,N,5,NA,2,INTRA,Te,0,0,0,0,42,0,3,13,2,NA,NA,NA,NA
1,1,2,4,6,N,5,NA,2,INTRA,Te,1,0,0,0,48,0,2,14,0,NA,NA,NA,NA
1,1,2,3,7,Cd,5,NA,2,INTRA,Te,2,0,0,0,9,0,1,4,1,NA,NA,NA,NA
1,1,2,4,8,Cd,5,NA,2,INTRA,Te,1,0,0,0,21,0,8,4,0,NA,NA,NA,NA
1,1,2,3,9,N,5,NA,4,INTRA,Te,0,0,0,0,47,0,4,21,1,NA,NA,NA,NA
1,1,2,4,10,N,5,NA,4,INTRA,Te,0,0,0,0,65,0,11,39,0,NA,NA,NA,NA
1,1,2,3,11,Cd,5,NA,4,INTRA,Te,2,0,0,0,14,0,2,2,0,NA,NA,NA,NA
1,1,2,4,12,Cd,5,NA,4,INTRA,Te,1,0,0,0,7,0,0,2,0,NA,NA,NA,NA
1,1,2,3,13,N,5,NA,10,INTRA,Te,0,0,0,0,84,0,1,0,0,NA,NA,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,2,4,14,N,5,NA,10,INTRA,Te,0,0,0,0,154,0,1,6,0,NA,NA,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,2,3,15,Cd,5,NA,10,INTRA,Te,1,0,0,0,43,0,0,4,1,NA,NA,NA,NA
1,1,2,4,16,Cd,5,NA,10,INTRA,Te,0,0,0,0,72,0,0,0,0,NA,NA,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,1,3,1,N,5,1,2,INTER,Te,0,0,0,0,41,0,1,8,2,0,7,3,NA
1,1,1,4,2,N,5,1,2,INTER,Te,0,0,0,0,29,0,3,9,0,5,6,1,NA
1,1,1,3,3,Cd,5,1,2,INTER,Te,0,0,0,0,19,0,5,4,1,2,1,1,NA
1,1,1,4,4,Cd,5,1,2,INTER,Te,0,0,0,0,9,0,1,5,0,1,0,0,NA
1,1,1,3,5,N,5,1,4,INTER,Te,0,0,0,0,62,0,2,2,3,8,4,1,NA
1,1,1,4,6,N,5,1,4,INTER,Te,1,0,0,1,27,0,0,0,0,5,5,0,NA
1,1,1,3,7,Cd,5,1,4,INTER,Te,0,0,0,2,6,0,0,0,0,0,1,0,NA
1,1,1,4,8,Cd,5,1,4,INTER,Te,0,0,0,0,25,0,1,3,1,1,1,0,NA
1,1,1,3,9,N,5,1,10,INTER,Te,0,0,0,4,96,0,0,0,0,0,0,0,all juv
1,1,1,4,10,N,5,1,10,INTER,Te,0,0,0,0,140,0,0,0,0,0,0,0,all juv
1,1,1,3,11,Cd,5,1,10,INTER,Te,0,0,0,5,15,0,0,0,1,0,0,0,NA
1,1,1,4,12,Cd,5,1,10,INTER,Te,0,0,0,6,20,0,0,0,0,0,1,0,NA
1,1,2,3,1,N,5,1,2,INTER,Te,0,0,0,0,31,0,0,0,0,0,0,0,all juv
1,1,2,4,2,N,5,1,2,INTER,Te,0,0,0,0,36,0,0,2,0,2,2,1,NA
1,1,2,3,3,Cd,5,1,2,INTER,Te,0,0,0,0,30,0,0,3,0,1,0,2,NA
1,1,2,4,4,Cd,5,1,2,INTER,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,In relation with column NumberOfEggs: Predator transparent
1,1,2,3,5,N,5,1,4,INTER,Te,0,0,0,2,74,0,0,4,4,0,2,4,NA
1,1,2,4,6,N,5,1,4,INTER,Te,1,0,0,0,43,0,0,0,0,7,12,0,NA
1,1,2,3,7,Cd,5,1,4,INTER,Te,1,0,0,3,11,0,0,4,1,0,0,0,NA
1,1,2,4,8,Cd,5,1,4,INTER,Te,0,0,0,0,12,0,0,4,2,0,0,0,NA
1,1,2,3,9,N,5,1,10,INTER,Te,0,0,0,2,86,0,2,3,0,3,9,2,NA
1,1,2,4,10,N,5,1,10,INTER,Te,0,0,0,2,115,0,2,11,0,11,10,5,NA
1,1,2,3,11,Cd,5,1,10,INTER,Te,0,0,0,3,18,0,0,0,0,0,0,0,NA
1,1,2,4,12,Cd,5,1,10,INTER,Te,0,0,0,4,12,0,0,0,0,0,0,0,NA
1,1,1,3,1,N,5,2,2,INTER,Te,0,0,0,0,20,0,1,3,1,3,2,2,NA
1,1,1,4,2,N,5,2,2,INTER,Te,0,0,0,0,13,0,3,9,0,4,5,0,NA
1,1,1,3,3,Cd,5,2,2,INTER,Te,0,0,0,0,13,0,2,0,0,0,0,0,NA
1,1,1,4,4,Cd,5,2,2,INTER,Te,0,0,0,1,22,0,1,3,0,0,0,0,NA
1,1,1,3,5,N,5,2,4,INTER,Te,0,0,0,1,41,0,3,8,1,13,6,3,NA
1,1,1,4,6,N,5,2,4,INTER,Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prod mite
1,1,1,3,7,Cd,5,2,4,INTER,Te,1,0,0,0,14,0,2,7,5,0,1,2,NA
1,1,1,4,8,Cd,5,2,4,INTER,Te,0,0,0,2,50,0,0,4,0,3,2,1,NA
1,1,1,3,9,N,5,2,10,INTER,Te,0,0,0,0,116,0,0,0,0,0,2,0,all juv
1,1,1,4,10,N,5,2,10,INTER,Te,0,0,0,0,113,0,0,0,1,3,6,3,patch full of fung
1,1,1,3,11,Cd,5,2,10,INTER,Te,0,0,0,4,18,0,0,1,0,0,0,0,NA
1,1,1,4,12,Cd,5,2,10,INTER,Te,0,0,0,2,47,0,0,0,1,0,0,0,NA
