Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,TeFemales,TuFemales,Observations
1,1,1,3,1,N,4,NA,1,INTRA,Te,0,0,0,0,6,NA,NA
1,1,1,4,2,N,4,NA,1,INTRA,Te,0,0,0,0,9,NA,NA
1,1,1,3,3,Cd,4,NA,1,INTRA,Te,1,0,0,0,2,NA,NA
1,1,1,4,4,Cd,4,NA,1,INTRA,Te,0,0,0,0,5,NA,NA
1,1,1,3,5,N,4,NA,2,INTRA,Te,1,0,0,0,2,NA,NA
1,1,1,4,6,N,4,NA,2,INTRA,Te,1,0,0,0,10,NA,NA
1,1,1,3,7,Cd,4,NA,2,INTRA,Te,0,0,0,0,4,NA,NA
1,1,1,4,8,Cd,4,NA,2,INTRA,Te,0,0,0,0,4,NA,NA
1,1,1,3,9,N,4,NA,4,INTRA,Te,0,0,0,0,9,NA,NA
1,1,1,4,10,N,4,NA,4,INTRA,Te,0,0,0,0,6,NA,NA
1,1,1,3,11,Cd,4,NA,4,INTRA,Te,0,0,0,0,0,NA,NA
1,1,1,4,12,Cd,4,NA,4,INTRA,Te,0,0,0,0,0,NA,NA
1,1,1,3,13,N,4,NA,10,INTRA,Te,1,0,1,0,13,NA,NA
1,1,1,4,14,N,4,NA,10,INTRA,Te,1,0,1,0,48,NA,In relation with column TeQuiescentfemales: lots of males quiescent
1,1,1,3,15,Cd,4,NA,10,INTRA,Te,2,0,1,0,7,NA,NA
1,1,1,4,16,Cd,4,NA,10,INTRA,Te,0,0,1,0,3,NA,NA
1,1,2,3,1,N,4,NA,1,INTRA,Te,0,0,0,0,11,NA,NA
1,1,2,4,2,N,4,NA,1,INTRA,Te,0,0,0,0,13,NA,NA
1,1,2,3,3,Cd,4,NA,1,INTRA,Te,1,0,0,0,2,NA,NA
1,1,2,4,4,Cd,4,NA,1,INTRA,Te,0,0,0,0,1,NA,NA
1,1,2,3,5,N,4,NA,2,INTRA,Te,0,0,0,0,32,NA,NA
1,1,2,4,6,N,4,NA,2,INTRA,Te,0,0,0,0,31,NA,NA
1,1,2,3,7,Cd,4,NA,2,INTRA,Te,0,0,0,0,2,NA,NA
1,1,2,4,8,Cd,4,NA,2,INTRA,Te,1,0,0,0,5,NA,NA
1,1,2,3,9,N,4,NA,4,INTRA,Te,0,0,0,0,14,NA,NA
1,1,2,4,10,N,4,NA,4,INTRA,Te,0,0,0,0,33,NA,NA
1,1,2,3,11,Cd,4,NA,4,INTRA,Te,0,0,0,0,8,NA,NA
1,1,2,4,12,Cd,4,NA,4,INTRA,Te,0,0,0,0,3,NA,NA
1,1,2,3,13,N,4,NA,10,INTRA,Te,0,0,0,0,2,NA,In relation with column TeQuiescentfemales: lots of juvenils
1,1,2,4,14,N,4,NA,10,INTRA,Te,0,1,0,0,44,NA,NA
1,1,2,3,15,Cd,4,NA,10,INTRA,Te,1,0,0,0,0,NA,NA
1,1,2,4,16,Cd,4,NA,10,INTRA,Te,0,0,0,0,4,NA,NA
1,1,1,3,1,N,5,NA,1,INTRA,Te,0,0,0,0,0,NA,NA
1,1,1,4,2,N,5,NA,1,INTRA,Te,0,0,0,0,6,NA,1 male
1,1,1,3,3,Cd,5,NA,1,INTRA,Te,0,0,0,0,1,NA,NA
1,1,1,4,4,Cd,5,NA,1,INTRA,Te,0,0,0,0,0,NA,NA
1,1,1,3,5,N,5,NA,2,INTRA,Te,0,0,0,0,5,NA,NA
1,1,1,4,6,N,5,NA,2,INTRA,Te,0,0,0,0,11,NA,NA
1,1,1,3,7,Cd,5,NA,2,INTRA,Te,2,0,0,0,3,NA,NA
1,1,1,4,8,Cd,5,NA,2,INTRA,Te,0,0,0,0,1,NA,NA
1,1,1,3,9,N,5,NA,4,INTRA,Te,1,0,0,0,29,NA,NA
1,1,1,4,10,N,5,NA,4,INTRA,Te,0,0,0,0,38,NA,NA
1,1,1,3,11,Cd,5,NA,4,INTRA,Te,2,0,0,0,6,NA,NA
1,1,1,4,12,Cd,5,NA,4,INTRA,Te,0,1,0,0,2,NA,NA
1,1,1,3,13,N,5,NA,10,INTRA,Te,0,0,1,0,15,NA,NA
1,1,1,4,14,N,5,NA,10,INTRA,Te,1,3,0,0,35,NA,NA
1,1,1,3,15,Cd,5,NA,10,INTRA,Te,4,0,0,0,1,NA,NA
1,1,1,4,16,Cd,5,NA,10,INTRA,Te,0,0,0,0,8,NA,NA
1,1,2,3,1,N,5,NA,1,INTRA,Te,0,0,0,0,8,NA,NA
1,1,2,4,2,N,5,NA,1,INTRA,Te,NA,NA,NA,NA,NA,NA,2 females!
1,1,2,3,3,Cd,5,NA,1,INTRA,Te,NA,NA,NA,NA,NA,NA,female went to disk 3
1,1,2,4,4,Cd,5,NA,1,INTRA,Te,0,0,0,0,17,NA,NA
1,1,2,3,5,N,5,NA,2,INTRA,Te,0,0,0,0,13,NA,NA
1,1,2,4,6,N,5,NA,2,INTRA,Te,1,0,0,0,14,NA,NA
1,1,2,3,7,Cd,5,NA,2,INTRA,Te,2,0,0,0,4,NA,NA
1,1,2,4,8,Cd,5,NA,2,INTRA,Te,1,0,0,0,4,NA,NA
1,1,2,3,9,N,5,NA,4,INTRA,Te,0,0,0,0,21,NA,NA
1,1,2,4,10,N,5,NA,4,INTRA,Te,0,0,0,0,39,NA,NA
1,1,2,3,11,Cd,5,NA,4,INTRA,Te,2,0,0,0,2,NA,NA
1,1,2,4,12,Cd,5,NA,4,INTRA,Te,1,0,0,0,2,NA,NA
1,1,2,3,13,N,5,NA,10,INTRA,Te,0,0,0,0,0,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,2,4,14,N,5,NA,10,INTRA,Te,0,0,0,0,6,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,2,3,15,Cd,5,NA,10,INTRA,Te,1,0,0,0,4,NA,NA
1,1,2,4,16,Cd,5,NA,10,INTRA,Te,0,0,0,0,0,NA,In relation with column TeQuiescentfemales: all indiv juv/dead
1,1,1,3,1,N,5,1,2,INTER,Te,0,0,0,0,8,7,NA
1,1,1,4,2,N,5,1,2,INTER,Te,0,0,0,0,9,6,NA
1,1,1,3,3,Cd,5,1,2,INTER,Te,0,0,0,0,4,1,NA
1,1,1,4,4,Cd,5,1,2,INTER,Te,0,0,0,0,5,0,NA
1,1,1,3,5,N,5,1,4,INTER,Te,0,0,0,0,2,4,NA
1,1,1,4,6,N,5,1,4,INTER,Te,1,0,0,1,0,5,NA
1,1,1,3,7,Cd,5,1,4,INTER,Te,0,0,0,2,0,1,NA
1,1,1,4,8,Cd,5,1,4,INTER,Te,0,0,0,0,3,1,NA
1,1,1,3,9,N,5,1,10,INTER,Te,0,0,0,4,0,0,all juv
1,1,1,4,10,N,5,1,10,INTER,Te,0,0,0,0,0,0,all juv
1,1,1,3,11,Cd,5,1,10,INTER,Te,0,0,0,5,0,0,NA
1,1,1,4,12,Cd,5,1,10,INTER,Te,0,0,0,6,0,1,NA
1,1,2,3,1,N,5,1,2,INTER,Te,0,0,0,0,0,0,all juv
1,1,2,4,2,N,5,1,2,INTER,Te,0,0,0,0,2,2,NA
1,1,2,3,3,Cd,5,1,2,INTER,Te,0,0,0,0,3,0,NA
1,1,2,4,4,Cd,5,1,2,INTER,Te,NA,NA,NA,NA,NA,NA,In relation with column NumberOfEggs: Predator transparent
1,1,2,3,5,N,5,1,4,INTER,Te,0,0,0,2,4,2,NA
1,1,2,4,6,N,5,1,4,INTER,Te,1,0,0,0,0,12,NA
1,1,2,3,7,Cd,5,1,4,INTER,Te,1,0,0,3,4,0,NA
1,1,2,4,8,Cd,5,1,4,INTER,Te,0,0,0,0,4,0,NA
1,1,2,3,9,N,5,1,10,INTER,Te,0,0,0,2,3,9,NA
1,1,2,4,10,N,5,1,10,INTER,Te,0,0,0,2,11,10,NA
1,1,2,3,11,Cd,5,1,10,INTER,Te,0,0,0,3,0,0,NA
1,1,2,4,12,Cd,5,1,10,INTER,Te,0,0,0,4,0,0,NA
1,1,1,3,1,N,5,2,2,INTER,Te,0,0,0,0,3,2,NA
1,1,1,4,2,N,5,2,2,INTER,Te,0,0,0,0,9,5,NA
1,1,1,3,3,Cd,5,2,2,INTER,Te,0,0,0,0,0,0,NA
1,1,1,4,4,Cd,5,2,2,INTER,Te,0,0,0,1,3,0,NA
1,1,1,3,5,N,5,2,4,INTER,Te,0,0,0,1,8,6,NA
1,1,1,4,6,N,5,2,4,INTER,Te,NA,NA,NA,NA,NA,NA,prod mite
1,1,1,3,7,Cd,5,2,4,INTER,Te,1,0,0,0,7,1,NA
1,1,1,4,8,Cd,5,2,4,INTER,Te,0,0,0,2,4,2,NA
1,1,1,3,9,N,5,2,10,INTER,Te,0,0,0,0,0,2,all juv
1,1,1,4,10,N,5,2,10,INTER,Te,0,0,0,0,0,6,patch full of fung
1,1,1,3,11,Cd,5,2,10,INTER,Te,0,0,0,4,1,0,NA
1,1,1,4,12,Cd,5,2,10,INTER,Te,0,0,0,2,0,0,NA
1,1,2,3,1,N,5,2,2,INTER,Te,0,0,0,0,0,2,NA
1,1,2,4,2,N,5,2,2,INTER,Te,0,0,0,0,2,0,NA
1,1,2,3,3,Cd,5,2,2,INTER,Te,0,0,0,0,0,0,NA
1,1,2,4,4,Cd,5,2,2,INTER,Te,0,0,0,0,3,0,NA
1,1,2,3,5,N,5,2,4,INTER,Te,0,0,0,0,2,2,NA
1,1,2,4,6,N,5,2,4,INTER,Te,0,0,0,0,8,7,NA
1,1,2,3,7,Cd,5,2,4,INTER,Te,0,0,0,2,7,0,NA
1,1,2,4,8,Cd,5,2,4,INTER,Te,0,0,0,1,3,3,NA
1,1,2,3,9,N,5,2,10,INTER,Te,0,0,0,2,0,0,all juv
1,1,2,4,10,N,5,2,10,INTER,Te,0,0,0,0,13,9,NA
1,1,2,3,11,Cd,5,2,10,INTER,Te,0,0,0,3,0,0,NA
1,1,2,4,12,Cd,5,2,10,INTER,Te,0,0,0,2,2,4,NA
1,1,1,3,1,N,4,2,2,INTER,Te,0,0,0,0,1,2,NA
1,1,1,4,2,N,4,2,2,INTER,Te,0,0,0,0,3,0,NA
1,1,1,3,3,Cd,4,2,2,INTER,Te,0,0,0,1,0,0,NA
1,1,1,4,4,Cd,4,2,2,INTER,Te,0,0,0,1,0,0,NA
1,1,1,3,5,N,4,2,4,INTER,Te,0,0,0,0,8,1,NA
1,1,1,4,6,N,4,2,4,INTER,Te,NA,NA,NA,NA,NA,NA,Predator transparent
1,1,1,3,7,Cd,4,2,4,INTER,Te,1,0,0,1,5,0,NA
1,1,1,4,8,Cd,4,2,4,INTER,Te,0,0,0,1,0,0,NA
1,1,1,3,9,N,4,2,10,INTER,Te,0,0,0,4,2,0,lots of dead juv
1,1,1,4,10,N,4,2,10,INTER,Te,0,0,0,0,9,10,NA
1,1,1,3,11,Cd,4,2,10,INTER,Te,0,0,0,3,0,0,NA
1,1,1,4,12,Cd,4,2,10,INTER,Te,0,0,0,3,0,6,NA
1,1,2,3,1,N,4,2,2,INTER,Te,0,0,0,0,16,0,NA
1,1,2,4,2,N,4,2,2,INTER,Te,0,0,0,0,0,3,NA
1,1,2,3,3,Cd,4,2,2,INTER,Te,0,0,0,0,2,1,NA
1,1,2,4,4,Cd,4,2,2,INTER,Te,0,0,0,0,1,1,NA
1,1,2,3,5,N,4,2,4,INTER,Te,0,0,0,2,17,4,NA
1,1,2,4,6,N,4,2,4,INTER,Te,0,0,0,0,25,1,NA
1,1,2,3,7,Cd,4,2,4,INTER,Te,0,0,0,0,3,5,NA
1,1,2,4,8,Cd,4,2,4,INTER,Te,0,0,0,2,0,0,NA
1,1,2,3,9,N,4,2,10,INTER,Te,0,0,0,0,0,0,NA
1,1,2,4,10,N,4,2,10,INTER,Te,0,0,0,1,0,0,NA
1,1,2,3,11,Cd,4,2,10,INTER,Te,0,0,0,5,0,0,NA
1,1,2,4,12,Cd,4,2,10,INTER,Te,0,0,0,4,0,0,NA
1,1,1,3,1,N,4,1,2,INTER,Te,0,0,0,0,4,7,NA
1,1,1,4,2,N,4,1,2,INTER,Te,0,0,0,1,10,0,NA
1,1,1,3,3,Cd,4,1,2,INTER,Te,0,0,0,0,4,7,NA
1,1,1,4,4,Cd,4,1,2,INTER,Te,NA,NA,NA,NA,NA,NA,2 Focals!
1,1,1,3,5,N,4,1,4,INTER,Te,0,0,0,0,2,7,NA
1,1,1,4,6,N,4,1,4,INTER,Te,0,0,0,0,0,12,NA
1,1,1,3,7,Cd,4,1,4,INTER,Te,0,0,0,2,0,0,NA
1,1,1,4,8,Cd,4,1,4,INTER,Te,0,0,0,1,2,1,NA
1,1,1,3,9,N,4,1,10,INTER,Te,0,0,0,0,2,3,Lots of juv
1,1,1,4,10,N,4,1,10,INTER,Te,0,0,0,1,0,20,NA
1,1,1,3,11,Cd,4,1,10,INTER,Te,0,0,0,3,0,0,NA
1,1,1,4,12,Cd,4,1,10,INTER,Te,0,0,0,1,0,1,NA
1,1,2,3,1,N,4,1,2,INTER,Te,0,0,0,0,2,1,NA
1,1,2,4,2,N,4,1,2,INTER,Te,0,0,0,0,6,5,NA
1,1,2,3,3,Cd,4,1,2,INTER,Te,0,0,0,0,11,0,NA
1,1,2,4,4,Cd,4,1,2,INTER,Te,0,0,0,0,0,10,NA
1,1,2,3,5,N,4,1,4,INTER,Te,0,0,0,1,0,3,NA
1,1,2,4,6,N,4,1,4,INTER,Te,0,0,0,1,6,0,NA
1,1,2,3,7,Cd,4,1,4,INTER,Te,0,0,0,1,1,0,NA
1,1,2,4,8,Cd,4,1,4,INTER,Te,0,0,0,1,13,2,NA
1,1,2,3,9,N,4,1,10,INTER,Te,0,0,0,0,0,11,NA
1,1,2,4,10,N,4,1,10,INTER,Te,0,0,0,0,0,2,NA
1,1,2,3,11,Cd,4,1,10,INTER,Te,1,0,0,7,0,0,NA
1,1,2,4,12,Cd,4,1,10,INTER,Te,0,0,0,3,0,0,NA
1,1,1,3,1,N,1,NA,1,INTRA,Tu,0,1,0,0,NA,3,NA
1,1,1,4,2,N,1,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,1,3,3,Cd,1,NA,1,INTRA,Tu,0,0,0,0,NA,0,NA
1,1,1,4,4,Cd,1,NA,1,INTRA,Tu,0,0,0,0,NA,1,NA
1,1,1,3,5,N,1,NA,2,INTRA,Tu,0,0,0,0,NA,4,NA
1,1,1,4,6,N,1,NA,2,INTRA,Tu,0,0,0,0,NA,10,NA
1,1,1,3,7,Cd,1,NA,2,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,1,4,8,Cd,1,NA,2,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,1,3,9,N,1,NA,4,INTRA,Tu,0,0,0,0,NA,0,Loads of 
1,1,1,4,10,N,1,NA,4,INTRA,Tu,0,0,0,0,NA,15,NA
1,1,1,3,11,Cd,1,NA,4,INTRA,Tu,0,2,0,0,NA,0,NA
1,1,1,4,12,Cd,1,NA,4,INTRA,Tu,1,0,0,0,NA,0,NA
1,1,1,3,13,N,1,NA,10,INTRA,Tu,1,0,1,0,NA,0,loads of dead juvn
1,1,1,4,14,N,1,NA,10,INTRA,Tu,0,0,0,0,NA,11,NA
1,1,1,3,15,Cd,1,NA,10,INTRA,Tu,0,0,2,0,NA,0,NA
1,1,1,4,16,Cd,1,NA,10,INTRA,Tu,0,1,0,0,NA,11,NA
